SDC Deal No,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(USD, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisors Name
('|')","Acquiror Financial Advisors Name
('|')",Deal Status,Form of the Deal,Acquiror Number of Employees,Target Number of Employees,Acquiror PermID,Target PermID,Target Founded Date,Target Primary Ticker Symbol,Acquiror Founded Date,"Acquiror Current Assets Last 12 Months
(USD, Millions)","Current Assets Last 12 Months 
(USD, Millions)","Acquiror Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Target Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Region of Headquarters
('|')","Acquiror CashFLow LTM
(USD, Millions)","EBITDA Last 12 Months
(USD, Millions)"
4039698020,02/08/2023,02/09/2023,249.12,QC Media Holdings Inc,Media and Entertainment,Recreation & Leisure,United States,Hybe America Inc,Media and Entertainment,Motion Pictures / Audio Visual,United States,,,Pending,Merger,,,5083826127,5083825968,,,,,,,,Americas,"365,898.41",
4005863040,11/28/2022,11/28/2022,36.81,Avex Broadcasting & Communications Inc,Media and Entertainment,Motion Pictures / Audio Visual,Japan,NTT DOCOMO Inc,Telecommunications,Telecommunications Services,Japan,PricewaterhouseCoopers,Deloitte Tohmatsu FA|Maxus Corporate Advisory Inc,Pending,Merger,,,4295878634,5035897096,10/04/2009,,14/08/1991,"26,107.85",,,,Japan,"309,429.13",
3985036040,10/05/2022,10/05/2022,36.71,Corallian Energy Ltd,Energy and Power,Oil & Gas,United Kingdom,Shell PLC,Energy and Power,Petrochemicals,United Kingdom,Strand Hanson Ltd|Stifel Nicolaus Europe Ltd|Panmure Gordon & Co Ltd,,Completed,Merger,"87,000.00",,4295885039,5047645553,,N/A,01/02/1907,"163,317.52",,,,Europe,"80,890.76",
4058756040,11/23/2022,11/23/2022,0.00,Total Eren SA,Energy and Power,Alternative Energy Sources,France,TotalEnergies SE,Energy and Power,Oil & Gas,France,,,Pending,Merger,,,5001170594,5046719927,01/01/2012,,28/03/1924,"174,042.39",689.97,,,Europe,"64,552.15",-27.43
3947815020,07/12/2022,07/12/2022,0.00,East Point Energy LLC,Energy and Power,Alternative Energy Sources,United States,Equinor ASA,Energy and Power,Oil & Gas,Norway,,TD Securities Inc,Pending,Merger,,,4295885689,5081397020,01/01/2018,,14/06/1972,"75,589.66",,,,Americas,"64,129.92",
3988975020,10/17/2022,10/17/2022,"3,792.95",Archaea Energy Inc,Energy and Power,Power,United States,BP PLC,Energy and Power,Petrochemicals,United Kingdom,BofA Securities Inc,Morgan Stanley & Co LLC,Completed,Merger,"83,400.00",,4295894740,5077895270,01/09/2020,LFG,14/04/1909,"108,439.68",419.99,"95,399.23","2,452.64",Americas,"57,672.83",21.56
3958339020,08/05/2022,08/05/2022,"1,724.54",iRobot Corp,Consumer Staples,Household & Personal Products,United States,Amazon.com Inc,Retail,Internet and Catalog Retailing,United States,Qatalyst Partners,Goldman Sachs & Co,Pending,Merger,"97,000.00",604.00,4295905494,4295910003,01/01/1990,IRBT,01/07/1994,"133,667.00",659.84,"1,177,070.08","1,164.99",Americas,"49,120.00",-34.96
3958422020,08/08/2022,08/08/2022,"5,145.55",Global Blood Therapeutics Inc,Healthcare,Pharmaceuticals,United States,Pfizer Inc,Healthcare,Pharmaceuticals,United States,Centerview Partners LLC|JP Morgan Securities LLC,Morgan Stanley|Goldman Sachs & Co,Completed,Merger,"116,500.00",,4295904722,5037622915,01/02/2011,GBT,,"67,466.00",640.01,"296,760.28","2,520.27",Americas,"42,233.00",-293.19
3950947020,07/21/2022,07/21/2022,"3,680.07",1Life Healthcare Inc,Healthcare,Healthcare Providers & Services (HMOs),United States,Amazon.com Inc,Retail,Internet and Catalog Retailing,United States,Morgan Stanley,Goldman Sachs & Co,Completed,Merger,"97,000.00",,4295905494,4297660953,15/06/2007,ONEM,01/07/1994,"133,876.00",560.33,"57,200.53","1,783.86",Americas,"35,766.00",-243.01
3897072040,03/31/2022,03/31/2022,"1,867.70",Brewin Dolphin Holdings PLC,Financials,Asset Management,United Kingdom,RBC Wealth Management (Jersey) Holdings Ltd,Financials,Other Financials,Jersey,Liberum Capital|Lazard & Co Ltd|Barclays Bank PLC,RBC Capital Markets,Completed,Merger,,,5082481315,5000008255,01/01/1974,BRW,28/03/2022,,0.00,,"1,145.13",Europe,"27,497.90",138.42
