Acquiror PermID,Target PermID,Date Announced
5083758169.0,4297975354.0,2023-01-10
5065324915.0,4295861100.0,2022-10-06
5000647778.0,5024701873.0,2022-10-11
4298070370.0,5028235405.0,2022-04-19
4295884507.0,4295890947.0,2022-07-05
4295912612.0,5000659697.0,2022-09-01
4296707069.0,5000950942.0,2023-01-04
5070760800.0,4296530846.0,2022-11-15
5000422269.0,4295904046.0,2022-02-22
5067521014.0,5006998501.0,2022-06-01
5079894918.0,5045986743.0,2022-02-01
5043439427.0,4295868688.0,2023-03-13
4295879810.0,5083419651.0,2022-07-29
4295880469.0,5035094717.0,2022-03-08
4296469604.0,4298007255.0,2022-12-07
5001244077.0,4296878049.0,2022-10-03
5079547942.0,4295900827.0,2022-05-31
5057822698.0,4295900976.0,2022-06-13
5083828419.0,5000649024.0,2023-01-01
5025465588.0,4298207839.0,2022-06-01
5078368546.0,5058576639.0,2022-06-27
5050988457.0,5039944336.0,2022-12-21
5044712480.0,5064584987.0,2023-02-02
4295901616.0,4295913148.0,2022-01-19
4295903829.0,4295912004.0,2022-02-22
5000990414.0,5044694601.0,2022-10-25
5083577571.0,5056576841.0,2022-10-27
5069469568.0,4295904941.0,2022-02-24
5082078835.0,4295884713.0,2022-03-10
4297739623.0,5083173449.0,2022-06-23
5039620192.0,5035528458.0,2022-07-13
4295878865.0,5082511523.0,2022-04-25
5057970363.0,5037957245.0,2022-03-07
5076113328.0,4295889821.0,2022-06-08
4296890252.0,4296792759.0,2022-07-21
5001820985.0,5083728699.0,2022-12-28
5037850288.0,5039685378.0,2022-04-25
5044342125.0,5001400954.0,2022-06-10
4295890290.0,5083415238.0,2022-08-12
5081057199.0,4295897144.0,2023-02-22
5083694467.0,5083694473.0,2022-10-31
5044346433.0,4297929548.0,2022-01-24
4295858624.0,4298007682.0,2022-04-04
4295858458.0,5044562662.0,2022-07-12
4296239947.0,5083116124.0,2022-12-24
4295878812.0,5039674668.0,2022-03-01
5000100407.0,5034510392.0,2022-12-18
5057970363.0,4298338535.0,2022-03-07
5035915761.0,5025944467.0,2022-05-25
5081141585.0,4297911325.0,2022-10-11
5000027071.0,5037621859.0,2022-02-28
4295862902.0,5000613127.0,2022-08-02
4295879722.0,4298500401.0,2022-10-31
5039650195.0,5083697379.0,2022-12-27
4295915684.0,5000659753.0,2022-08-18
5083117534.0,5083161289.0,2022-07-28
4295875738.0,4295857653.0,2022-11-08
4296041046.0,5034772437.0,2022-11-02
5037931232.0,4296531649.0,2022-10-18
4295879821.0,4295876551.0,2022-03-04
4298040855.0,4296365142.0,2022-02-14
5000648166.0,5012977226.0,2022-06-13
4298264580.0,5070507300.0,2022-07-01
4298234675.0,5039638686.0,2022-07-25
5001205452.0,5044746630.0,2022-07-21
4295879816.0,5039678271.0,2023-01-06
4298156205.0,4296977636.0,2022-08-01
5000009087.0,5069399381.0,2022-02-14
4295897202.0,4296373271.0,2022-08-08
4295887034.0,5034816248.0,2022-08-22
5001351099.0,5005809976.0,2022-02-16
5082161734.0,5060000009.0,2022-01-26
5083660382.0,4297899716.0,2022-11-29
5001247241.0,5082073986.0,2022-01-03
5000101628.0,4296551696.0,2022-05-03
5059963032.0,4296934874.0,2022-11-25
4298189819.0,5035256273.0,2022-03-25
4295877394.0,5039926747.0,2022-08-08
5003638204.0,5003661381.0,2022-11-15
4295879959.0,4295876756.0,2022-06-03
5052665318.0,4296025976.0,2023-03-06
5000012948.0,4296679151.0,2022-01-10
5082178396.0,4295902987.0,2022-02-15
5036164148.0,5034791508.0,2022-03-15
5036769585.0,4298315948.0,2022-05-30
5083448820.0,5083446529.0,2022-08-26
5076941108.0,5082438550.0,2022-03-01
4298431208.0,4296972304.0,2022-04-22
5083824997.0,5016080450.0,2023-02-02
5044817562.0,5082429828.0,2022-01-12
5082451257.0,5044757488.0,2022-04-20
