id,name,start_date
5083758169.0,TLSS Acquisition Inc,
5065324915.0,Arco Platform Ltd,2004-01-01
5000647778.0,Fisher National Bank,1955-01-01
4298070370.0,Higginbotham & Associates LLC,1948-01-01
4295884507.0,Fomento Economico Mexicano SAB de CV,
4295912612.0,Bankfirst Capital Corp,1987-01-01
4296707069.0,Holland & Knight LLP,1968-01-01
5070760800.0,Sanford Health-MeritCare,
5000422269.0,Standard General LP,2007-01-01
5067521014.0,Ensurise LLC,2014-01-01
5079894918.0,Hunan Vathin Medical Instrument Co Ltd,2018-07-27
5043439427.0,SWOCTEM GmbH,
4295879810.0,Medipal Holdings Corp,
4295880469.0,Alfresa Holdings Corp,2003-09-29
4296469604.0,Silva Sweden AB,1933-12-13
5001244077.0,Apoteksgruppen i Sverige AB,
5079547942.0,EW Healthcare Partners,
5057822698.0,Buckeye State Bank,
5083828419.0,"Bank of Odessa,Missouri",
5025465588.0,Gundersen Lutheran Health System Inc,1996-01-25
5078368546.0,Florence SpA,2020-10-01
5050988457.0,Funecap Holding SASU,2010-01-01
5044712480.0,Tamtron Group Oyj,2011-08-31
4295901616.0,Bank First Corp,
4295903829.0,Cummins Inc,1919-01-01
5000990414.0,Wakabayashi Shoten,
5083577571.0,FM Group Holding BV,1968-01-01
5069469568.0,Infrastructure Investments Fund,2007-07-01
5082078835.0,Stichting Hyacinth,2021-12-01
4297739623.0,LionDor Inc,1950-03-01
5039620192.0,Piam Farmaceutici SpA,1915-01-01
4295878865.0,Ebara Foods Industry Inc,1958-05-01
5057970363.0,Timesavers Acquisition LLC,2013-01-01
5076113328.0,SAF-HOLLAND SE,2006-01-01
4296890252.0,Medienholding Klambt GmbH & Co KG,
5001820985.0,Butler County Association of Realtors,1945-01-01
5037850288.0,Uematsu Co Ltd,
5044342125.0,Mindelon AB,1972-01-01
4295890290.0,Indutrade AB,1978-01-01
5081057199.0,Apollo Global Management Inc,1990-01-01
5083694467.0,Yutaka Make Holdings,
5044346433.0,Boels Gosink Bv,
4295858624.0,Gold Road Resources Ltd,2004-05-28
4295858458.0,The Agency Group Australia Ltd,2006-03-23
4296239947.0,HST Groep BV,
4295878812.0,JFLA Holdings Inc,2007-01-12
5000100407.0,L3Harris Technologies Inc,1926-01-01
5035915761.0,Carolina Farm Credit,1916-01-01
5081141585.0,ISPAC 1 Ltd,2020-09-02
5000027071.0,Eidsiva Energi AS,
5081364438.0,Cary Group Holding AB,
4295862902.0,Toronto-Dominion Bank,1955-02-01
4295879722.0,Hurxley Corp,1980-03-18
5039650195.0,Dentogura,2010-04-01
4295915684.0,TowneBank,1999-04-30
5083117534.0,Italian Food Excellence SpA,
4295875738.0,Webuild SpA,1990-01-01
4296041046.0,Ernst Dello GmbH & Co KG,
5037931232.0,BKM Sowan Horan LLP,2010-05-17
4295879821.0,Ichinen Holdings Co Ltd,1930-06-01
4298040855.0,Zurn Water Solutions Corp,2006-01-01
5000648166.0,CrossFirst Bank,2007-01-01
4297968130.0,First Waterloo Bancshares Inc,1985-03-07
4298264580.0,Norva24 Danmark A/S,
4298234675.0,Irca SRL,1919-01-01
5001205452.0,Glatz GmbH,
4295879816.0,Konishi Co Ltd,
4298156205.0,Aster Group Ltd,
5000009087.0,Yamagen,1965-01-01
4295897202.0,Newcastle Building Society,1980-01-01
4295887034.0,Oil Co LUKOIL PJSC,1991-11-25
5001351099.0,Align Credit Union,
5082161734.0,Golden Palace Antwerpen SA,
5083660382.0,Gland Pharma International Pte Ltd,
5001247241.0,Atlas Air Service AG,1970-01-01
5000101628.0,Marcum LLP,1951-01-01
5059963032.0,Brenntag SE,
4298189819.0,Sagamiya Foods Co Ltd,1951-10-01
4295877394.0,Teijin Ltd,1918-06-17
5003638204.0,Crest Hotels Ltd,1998-08-10
4295879959.0,Ferrotec Holdings Corp,1980-09-27
5052665318.0,Apleona GmbH,2016-04-18
5000012948.0,Waterland Private Equity Investments BV,1999-01-01
5082178396.0,Mobius Parent Corp,
5036164148.0,RAK Ceramics UK Ltd,
5036769585.0,Leipurin Oy,
5083448820.0,Otentosun,2000-01-01
5076941108.0,SORA Inc,2020-04-15
