company_id,edge_type,val_id,node_type
5083758169.0,Macro Industry,Financials,Industry
5065324915.0,Macro Industry,Consumer Products and Services,Industry
5000647778.0,Macro Industry,Financials,Industry
4298070370.0,Macro Industry,Financials,Industry
4295884507.0,Macro Industry,Retail,Industry
4295912612.0,Macro Industry,Financials,Industry
4296707069.0,Macro Industry,Consumer Products and Services,Industry
5070760800.0,Macro Industry,Healthcare,Industry
5000422269.0,Macro Industry,Financials,Industry
5067521014.0,Macro Industry,Financials,Industry
5079894918.0,Macro Industry,Healthcare,Industry
5043439427.0,Macro Industry,Consumer Products and Services,Industry
4295879810.0,Macro Industry,Consumer Products and Services,Industry
4295880469.0,Macro Industry,Consumer Products and Services,Industry
4296469604.0,Macro Industry,Industrials,Industry
5001244077.0,Macro Industry,Retail,Industry
5079547942.0,Macro Industry,Financials,Industry
5057822698.0,Macro Industry,Financials,Industry
5083828419.0,Macro Industry,Financials,Industry
5025465588.0,Macro Industry,Healthcare,Industry
5078368546.0,Macro Industry,Consumer Staples,Industry
5050988457.0,Macro Industry,Consumer Products and Services,Industry
5044712480.0,Macro Industry,Consumer Products and Services,Industry
4295901616.0,Macro Industry,Financials,Industry
4295903829.0,Macro Industry,Industrials,Industry
5000990414.0,Macro Industry,Materials,Industry
5083577571.0,Macro Industry,Consumer Staples,Industry
5069469568.0,Macro Industry,Financials,Industry
5082078835.0,Macro Industry,Financials,Industry
4297739623.0,Macro Industry,Retail,Industry
5039620192.0,Macro Industry,Healthcare,Industry
4295878865.0,Macro Industry,Consumer Staples,Industry
5057970363.0,Macro Industry,Industrials,Industry
5076113328.0,Macro Industry,Industrials,Industry
4296890252.0,Macro Industry,Media and Entertainment,Industry
5001820985.0,Macro Industry,Consumer Products and Services,Industry
5037850288.0,Macro Industry,Media and Entertainment,Industry
5044342125.0,Macro Industry,Financials,Industry
4295890290.0,Macro Industry,Industrials,Industry
5081057199.0,Macro Industry,Financials,Industry
5083694467.0,Macro Industry,Consumer Staples,Industry
5044346433.0,Macro Industry,Consumer Products and Services,Industry
4295858624.0,Macro Industry,Materials,Industry
4295858458.0,Macro Industry,Real Estate,Industry
4296239947.0,Macro Industry,Industrials,Industry
4295878812.0,Macro Industry,Retail,Industry
5000100407.0,Macro Industry,Industrials,Industry
5057970363.0,Macro Industry,Industrials,Industry
5035915761.0,Macro Industry,Financials,Industry
5081141585.0,Macro Industry,Financials,Industry
5000027071.0,Macro Industry,Energy and Power,Industry
5081364438.0,Macro Industry,Industrials,Industry
4295862902.0,Macro Industry,Financials,Industry
4295879722.0,Macro Industry,Retail,Industry
5039650195.0,Macro Industry,Consumer Products and Services,Industry
4295915684.0,Macro Industry,Financials,Industry
5083117534.0,Macro Industry,Financials,Industry
4295875738.0,Macro Industry,Industrials,Industry
4296041046.0,Macro Industry,Retail,Industry
5037931232.0,Macro Industry,Consumer Products and Services,Industry
4295879821.0,Macro Industry,Consumer Products and Services,Industry
4298040855.0,Macro Industry,Industrials,Industry
5000648166.0,Macro Industry,Financials,Industry
4297968130.0,Macro Industry,Financials,Industry
4298264580.0,Macro Industry,Industrials,Industry
4298234675.0,Macro Industry,Consumer Staples,Industry
5001205452.0,Macro Industry,Consumer Staples,Industry
4295879816.0,Macro Industry,Materials,Industry
4298156205.0,Macro Industry,Real Estate,Industry
5000009087.0,Macro Industry,Consumer Products and Services,Industry
4295897202.0,Macro Industry,Financials,Industry
4295887034.0,Macro Industry,Energy and Power,Industry
5001351099.0,Macro Industry,Financials,Industry
5082161734.0,Macro Industry,Media and Entertainment,Industry
5083660382.0,Macro Industry,Healthcare,Industry
5001247241.0,Macro Industry,Industrials,Industry
5000101628.0,Macro Industry,Consumer Products and Services,Industry
5059963032.0,Macro Industry,Materials,Industry
4298189819.0,Macro Industry,Consumer Staples,Industry
4295877394.0,Macro Industry,Consumer Staples,Industry
5003638204.0,Macro Industry,Media and Entertainment,Industry
4295879959.0,Macro Industry,High Technology,Industry
