Unnamed: 0,id,name,start_date
0,5083758169.0,TLSS Acquisition Inc,
2,5065324915.0,Arco Platform Ltd,01/01/2004
3,5000647778.0,Fisher National Bank,01/01/1955
4,4298070370.0,Higginbotham & Associates LLC,01/01/1948
5,4295884507.0,Fomento Economico Mexicano SAB de CV,
6,4295912612.0,Bankfirst Capital Corp,01/01/1987
7,4296707069.0,Holland & Knight LLP,01/01/1968
8,5070760800.0,Sanford Health-MeritCare,
9,5067521014.0,Ensurise LLC,01/01/2014
10,5043439427.0,SWOCTEM GmbH,
11,4295879810.0,Medipal Holdings Corp,
12,4296469604.0,Silva Sweden AB,13/12/1933
13,5001244077.0,Apoteksgruppen i Sverige AB,
14,5079547942.0,EW Healthcare Partners,
15,5057822698.0,Buckeye State Bank,
17,5083828419.0,"Bank of Odessa,Missouri",
18,5025465588.0,Gundersen Lutheran Health System Inc,25/01/1996
19,5078368546.0,Florence SpA,01/10/2020
20,5050988457.0,Funecap Holding SASU,01/01/2010
21,5044712480.0,Tamtron Group Oyj,31/08/2011
23,5000990414.0,Wakabayashi Shoten,
24,5083577571.0,FM Group Holding BV,01/01/1968
25,4297739623.0,LionDor Inc,01/03/1950
26,5039620192.0,Piam Farmaceutici SpA,01/01/1915
28,4295878865.0,Ebara Foods Industry Inc,01/05/1958
29,5076113328.0,SAF-HOLLAND SE,01/01/2006
30,4296890252.0,Medienholding Klambt GmbH & Co KG,
31,5001820985.0,Butler County Association of Realtors,01/01/1945
32,5037850288.0,Uematsu Co Ltd,
33,5044342125.0,Mindelon AB,01/01/1972
34,4295890290.0,Indutrade AB,01/01/1978
35,5081057199.0,Apollo Global Management Inc,01/01/1990
36,5083694467.0,Yutaka Make Holdings,
37,4295858624.0,Gold Road Resources Ltd,28/05/2004
38,4295858458.0,The Agency Group Australia Ltd,23/03/2006
39,4296239947.0,HST Groep BV,
40,5000100407.0,L3Harris Technologies Inc,01/01/1926
41,5035915761.0,Carolina Farm Credit,01/01/1916
42,5081141585.0,ISPAC 1 Ltd,02/09/2020
43,5081364438.0,Cary Group Holding AB,
45,4295862902.0,Toronto-Dominion Bank,01/02/1955
46,4295879722.0,Hurxley Corp,18/03/1980
47,5039650195.0,Dentogura,01/04/2010
48,4295915684.0,TowneBank,30/04/1999
49,5083117534.0,Italian Food Excellence SpA,
50,4295875738.0,Webuild SpA,01/01/1990
51,4296041046.0,Ernst Dello GmbH & Co KG,
52,5037931232.0,BKM Sowan Horan LLP,17/05/2010
53,5000648166.0,CrossFirst Bank,01/01/2007
54,4297968130.0,First Waterloo Bancshares Inc,07/03/1985
55,4298264580.0,Norva24 Danmark A/S,
56,4298234675.0,Irca SRL,01/01/1919
57,5001205452.0,Glatz GmbH,
58,4295879816.0,Konishi Co Ltd,
59,4298156205.0,Aster Group Ltd,
60,4295897202.0,Newcastle Building Society,01/01/1980
61,4295887034.0,Oil Co LUKOIL PJSC,25/11/1991
62,5083660382.0,Gland Pharma International Pte Ltd,
64,5000101628.0,Marcum LLP,01/01/1951
66,5059963032.0,Brenntag SE,
68,4295877394.0,Teijin Ltd,17/06/1918
69,5003638204.0,Crest Hotels Ltd,10/08/1998
70,4295879959.0,Ferrotec Holdings Corp,27/09/1980
71,5052665318.0,Apleona GmbH,18/04/2016
72,5036769585.0,Leipurin Oy,
73,5083448820.0,Otentosun,01/01/2000
74,4298431208.0,Hansea NV,
75,5083824997.0,Sarb Capital Ltd,05/01/2022
76,5082451257.0,Tvitec System Glass SL,09/02/2007
77,4295890141.0,NIBE Industrier AB,01/01/1989
78,4295892437.0,AcBel Polytech Inc,29/07/1981
79,4298043379.0,Mercy,01/01/1986
