company_id,edge_type,val_id,node_type
5083826127.0,Macro Industry,Media and Entertainment,Industry
4295878634.0,Macro Industry,Telecommunications,Industry
4295885039.0,Macro Industry,Energy and Power,Industry
5001170594.0,Macro Industry,Energy and Power,Industry
4295885689.0,Macro Industry,Energy and Power,Industry
4295894740.0,Macro Industry,Energy and Power,Industry
4295905494.0,Macro Industry,Retail,Industry
4295904722.0,Macro Industry,Healthcare,Industry
4295905494.0,Macro Industry,Retail,Industry
5082481315.0,Macro Industry,Financials,Industry
4295867165.0,Macro Industry,Consumer Staples,Industry
4295890594.0,Macro Industry,Healthcare,Industry
4295861073.0,Macro Industry,Real Estate,Industry
4295861073.0,Macro Industry,Real Estate,Industry
4295861073.0,Macro Industry,Real Estate,Industry
8589934205.0,Macro Industry,Financials,Industry
4295877319.0,Macro Industry,Energy and Power,Industry
4295902158.0,Macro Industry,Media and Entertainment,Industry
4295869164.0,Macro Industry,Industrials,Industry
4295869164.0,Macro Industry,Industrials,Industry
4295907485.0,Macro Industry,High Technology,Industry
5000030092.0,Macro Industry,Materials,Industry
5060689053.0,Macro Industry,High Technology,Industry
8589934213.0,Macro Industry,Financials,Industry
4295862902.0,Macro Industry,Financials,Industry
4296616107.0,Macro Industry,Energy and Power,Industry
4295894341.0,Macro Industry,Healthcare,Industry
4295894341.0,Macro Industry,Healthcare,Industry
4295905537.0,Macro Industry,Healthcare,Industry
5082507389.0,Macro Industry,Financials,Industry
4295903017.0,Macro Industry,High Technology,Industry
4295903017.0,Macro Industry,High Technology,Industry
4295903017.0,Macro Industry,High Technology,Industry
8589934254.0,Macro Industry,Financials,Industry
5059998878.0,Macro Industry,Materials,Industry
4295906595.0,Macro Industry,Healthcare,Industry
5074432698.0,Macro Industry,Financials,Industry
4295889577.0,Macro Industry,Financials,Industry
4295903619.0,Macro Industry,Healthcare,Industry
4295865996.0,Macro Industry,Healthcare,Industry
4295904414.0,Macro Industry,Healthcare,Industry
4295872420.0,Macro Industry,Financials,Industry
4295862758.0,Macro Industry,Financials,Industry
4295867170.0,Macro Industry,Retail,Industry
4295890620.0,Macro Industry,Materials,Industry
4295904341.0,Macro Industry,Healthcare,Industry
4295856627.0,Macro Industry,Financials,Industry
4295894341.0,Macro Industry,Healthcare,Industry
4295856983.0,Macro Industry,Materials,Industry
4295880574.0,Macro Industry,Consumer Products and Services,Industry
5037314809.0,Macro Industry,Energy and Power,Industry
4295890024.0,Macro Industry,Industrials,Industry
5083697729.0,Macro Industry,Financials,Industry
4295880574.0,Macro Industry,Consumer Products and Services,Industry
4295884692.0,Macro Industry,Consumer Staples,Industry
4295881987.0,Macro Industry,High Technology,Industry
4295894791.0,Macro Industry,Consumer Staples,Industry
5082533833.0,Macro Industry,Financials,Industry
4295893441.0,Macro Industry,Telecommunications,Industry
4297028731.0,Macro Industry,Energy and Power,Industry
4295867411.0,Macro Industry,Industrials,Industry
