,company_id,edge_type,val_id,node_type
0,5083826127.0,Macro Industry,Media and Entertainment,Industry
1,4295878634.0,Macro Industry,Telecommunications,Industry
2,4295885039.0,Macro Industry,Energy and Power,Industry
3,5001170594.0,Macro Industry,Energy and Power,Industry
4,4295885689.0,Macro Industry,Energy and Power,Industry
5,4295894740.0,Macro Industry,Energy and Power,Industry
6,4295905494.0,Macro Industry,Retail,Industry
7,4295904722.0,Macro Industry,Healthcare,Industry
8,4295905494.0,Macro Industry,Retail,Industry
9,5082481315.0,Macro Industry,Financials,Industry
10,4295867165.0,Macro Industry,Consumer Staples,Industry
11,4295890594.0,Macro Industry,Healthcare,Industry
12,4295861073.0,Macro Industry,Real Estate,Industry
13,4295861073.0,Macro Industry,Real Estate,Industry
14,4295861073.0,Macro Industry,Real Estate,Industry
15,8589934205.0,Macro Industry,Financials,Industry
16,4295877319.0,Macro Industry,Energy and Power,Industry
17,4295902158.0,Macro Industry,Media and Entertainment,Industry
18,4295869164.0,Macro Industry,Industrials,Industry
19,4295869164.0,Macro Industry,Industrials,Industry
20,4295907485.0,Macro Industry,High Technology,Industry
21,5000030092.0,Macro Industry,Materials,Industry
22,5060689053.0,Macro Industry,High Technology,Industry
23,8589934213.0,Macro Industry,Financials,Industry
24,4295862902.0,Macro Industry,Financials,Industry
25,4296616107.0,Macro Industry,Energy and Power,Industry
26,4295894341.0,Macro Industry,Healthcare,Industry
27,4295894341.0,Macro Industry,Healthcare,Industry
28,4295905537.0,Macro Industry,Healthcare,Industry
29,5082507389.0,Macro Industry,Financials,Industry
30,4295903017.0,Macro Industry,High Technology,Industry
31,4295903017.0,Macro Industry,High Technology,Industry
32,4295903017.0,Macro Industry,High Technology,Industry
33,8589934254.0,Macro Industry,Financials,Industry
34,5059998878.0,Macro Industry,Materials,Industry
35,4295906595.0,Macro Industry,Healthcare,Industry
36,5074432698.0,Macro Industry,Financials,Industry
37,4295889577.0,Macro Industry,Financials,Industry
38,4295903619.0,Macro Industry,Healthcare,Industry
39,4295865996.0,Macro Industry,Healthcare,Industry
40,4295904414.0,Macro Industry,Healthcare,Industry
41,4295872420.0,Macro Industry,Financials,Industry
42,4295862758.0,Macro Industry,Financials,Industry
43,4295867170.0,Macro Industry,Retail,Industry
44,4295890620.0,Macro Industry,Materials,Industry
45,4295904341.0,Macro Industry,Healthcare,Industry
46,4295856627.0,Macro Industry,Financials,Industry
47,4295894341.0,Macro Industry,Healthcare,Industry
48,4295856983.0,Macro Industry,Materials,Industry
49,4295880574.0,Macro Industry,Consumer Products and Services,Industry
50,5037314809.0,Macro Industry,Energy and Power,Industry
51,4295890024.0,Macro Industry,Industrials,Industry
52,5083697729.0,Macro Industry,Financials,Industry
53,4295880574.0,Macro Industry,Consumer Products and Services,Industry
54,4295884692.0,Macro Industry,Consumer Staples,Industry
55,4295881987.0,Macro Industry,High Technology,Industry
56,4295894791.0,Macro Industry,Consumer Staples,Industry
57,5082533833.0,Macro Industry,Financials,Industry
58,4295893441.0,Macro Industry,Telecommunications,Industry
59,4297028731.0,Macro Industry,Energy and Power,Industry
60,4295867411.0,Macro Industry,Industrials,Industry
61,4295887248.0,Macro Industry,Financials,Industry
62,4295904722.0,Macro Industry,Healthcare,Industry
63,4295904722.0,Macro Industry,Healthcare,Industry
64,4295860372.0,Macro Industry,Materials,Industry
65,4295876067.0,Macro Industry,Consumer Products and Services,Industry
66,4295886466.0,Macro Industry,Energy and Power,Industry
67,5000789191.0,Macro Industry,Financials,Industry
68,4295873204.0,Macro Industry,Energy and Power,Industry
69,4295873204.0,Macro Industry,Energy and Power,Industry
70,4295882004.0,Macro Industry,Energy and Power,Industry
71,5038915059.0,Macro Industry,Financials,Industry
72,5082507076.0,Macro Industry,Financials,Industry
73,4295875318.0,Macro Industry,Industrials,Industry
74,4295875318.0,Macro Industry,Industrials,Industry
75,4295903920.0,Macro Industry,Industrials,Industry
76,4295903627.0,Macro Industry,Healthcare,Industry
77,4295890615.0,Macro Industry,Telecommunications,Industry
78,4295885456.0,Macro Industry,Materials,Industry
79,4295880409.0,Macro Industry,Energy and Power,Industry
80,4295903627.0,Macro Industry,Healthcare,Industry
81,4295870063.0,Macro Industry,High Technology,Industry
82,4298007752.0,Macro Industry,Financials,Industry
