,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
0,uri,http://www.wikidata.org/entity/Q1334647,uri,http://www.wikidata.org/entity/Q3181430,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z
1,uri,http://www.wikidata.org/entity/Q446750,uri,http://www.wikidata.org/entity/Q18224,,,
2,uri,http://www.wikidata.org/entity/Q1856835,uri,http://www.wikidata.org/entity/Q7817,,,
3,uri,http://www.wikidata.org/entity/Q640418,uri,http://www.wikidata.org/entity/Q594721,,,
4,uri,http://www.wikidata.org/entity/Q936563,uri,http://www.wikidata.org/entity/Q842108,,,
5,uri,http://www.wikidata.org/entity/Q1334647,uri,http://www.wikidata.org/entity/Q3181430,,,
6,uri,http://www.wikidata.org/entity/Q1325291,uri,http://www.wikidata.org/entity/Q28056759,,,
7,uri,http://www.wikidata.org/entity/Q2661245,uri,http://www.wikidata.org/entity/Q1891982,,,
8,uri,http://www.wikidata.org/entity/Q3482100,uri,http://www.wikidata.org/entity/Q3181430,,,
9,uri,http://www.wikidata.org/entity/Q6077665,uri,http://www.wikidata.org/entity/Q594721,,,
10,uri,http://www.wikidata.org/entity/Q12340378,uri,http://www.wikidata.org/entity/Q594721,,,
11,uri,http://www.wikidata.org/entity/Q19562429,uri,http://www.wikidata.org/entity/Q594721,,,
