,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q483676,uri,http://www.wikidata.org/entity/Q4548
1,uri,http://www.wikidata.org/entity/Q104900227,uri,http://www.wikidata.org/entity/Q640497
2,uri,http://www.wikidata.org/entity/Q55075006,uri,http://www.wikidata.org/entity/Q4548
3,uri,http://www.wikidata.org/entity/Q63088014,uri,http://www.wikidata.org/entity/Q4548
4,uri,http://www.wikidata.org/entity/Q206228,uri,http://www.wikidata.org/entity/Q1306571
5,uri,http://www.wikidata.org/entity/Q640497,uri,http://www.wikidata.org/entity/Q1306571
6,uri,http://www.wikidata.org/entity/Q680019,uri,http://www.wikidata.org/entity/Q640497
7,uri,http://www.wikidata.org/entity/Q1734420,uri,http://www.wikidata.org/entity/Q1306571
8,uri,http://www.wikidata.org/entity/Q1936895,uri,http://www.wikidata.org/entity/Q283852
9,uri,http://www.wikidata.org/entity/Q1975972,uri,http://www.wikidata.org/entity/Q283852
10,uri,http://www.wikidata.org/entity/Q5251737,uri,http://www.wikidata.org/entity/Q640497
11,uri,http://www.wikidata.org/entity/Q6449187,uri,http://www.wikidata.org/entity/Q283852
12,uri,http://www.wikidata.org/entity/Q6037320,uri,http://www.wikidata.org/entity/Q47165503
13,uri,http://www.wikidata.org/entity/Q7671959,uri,http://www.wikidata.org/entity/Q263700
14,uri,http://www.wikidata.org/entity/Q8049138,uri,http://www.wikidata.org/entity/Q1306571
15,uri,http://www.wikidata.org/entity/Q17372600,uri,http://www.wikidata.org/entity/Q909613
16,uri,http://www.wikidata.org/entity/Q18639164,uri,http://www.wikidata.org/entity/Q574575
17,uri,http://www.wikidata.org/entity/Q19903306,uri,http://www.wikidata.org/entity/Q675808
18,uri,http://www.wikidata.org/entity/Q25477689,uri,http://www.wikidata.org/entity/Q909613
19,uri,http://www.wikidata.org/entity/Q47165503,uri,http://www.wikidata.org/entity/Q8049138
20,uri,http://www.wikidata.org/entity/Q48473390,uri,http://www.wikidata.org/entity/Q48299960
21,uri,http://www.wikidata.org/entity/Q15946806,uri,http://www.wikidata.org/entity/Q1140939
22,uri,http://www.wikidata.org/entity/Q28220824,uri,http://www.wikidata.org/entity/Q499967
23,uri,http://www.wikidata.org/entity/Q42114490,uri,http://www.wikidata.org/entity/Q283852
24,uri,http://www.wikidata.org/entity/Q109533007,uri,http://www.wikidata.org/entity/Q86841545
