,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q10524043,en,literal,Hilton Nairobi,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,en,literal,Hilton Nairobi,,,,,,,wd:Q114
1,uri,http://www.wikidata.org/entity/Q55605275,en,literal,Betika,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,wd:Q114
2,uri,http://www.wikidata.org/entity/Q18358469,en,literal,BitPesa,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q20514253,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,,,,wd:Q114
3,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1008,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q114
4,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q262,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q114
5,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1009,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q114
6,uri,http://www.wikidata.org/entity/Q5416938,en,literal,Eveready East Africa,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,wd:Q114
7,uri,http://www.wikidata.org/entity/Q5384664,en,literal,Equity Bank Kenya,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q7898689,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,wd:Q114
8,uri,http://www.wikidata.org/entity/Q61971936,en,literal,Cloud9xp,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,http://www.wikidata.org/entity/Q61970825,literal,,literal,,,,,,,,,,,wd:Q114
9,uri,http://www.wikidata.org/entity/Q6392601,en,literal,Kenya Medical Research Institute,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,,,,wd:Q114
10,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q114
11,uri,http://www.wikidata.org/entity/Q1665444,en,literal,The New Humanitarian,uri,http://www.wikidata.org/entity/Q114,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,wd:Q114
12,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q114
13,uri,http://www.wikidata.org/entity/Q4853463,en,literal,Bamburi Cement,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q385378,literal,,literal,,literal,http://www.wikidata.org/entity/Q3870,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,,,,wd:Q114
14,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,wd:Q114
