,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q110147122,en,literal,Hilton Garden Inn London Heathrow Terminals 2 and 3,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
1,uri,http://www.wikidata.org/entity/Q80857633,en,literal,The Cross Foxes,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
2,uri,http://www.wikidata.org/entity/Q99592031,en,literal,The Crown Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
3,uri,http://www.wikidata.org/entity/Q26573669,en,literal,The Lamb Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
4,uri,http://www.wikidata.org/entity/Q83559035,en,literal,Long Arm Short Arm,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
5,uri,http://www.wikidata.org/entity/Q746639,en,literal,Savoy Hotel,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q100252087,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1889-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
6,uri,http://www.wikidata.org/entity/Q80857960,en,literal,Lion Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
7,uri,http://www.wikidata.org/entity/Q16985599,en,literal,Buckinghamshire Healthcare NHS Trust,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q15067276,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q16251481,,,,,,,,,,,,,,,,,,,,,,wd:Q145
8,uri,http://www.wikidata.org/entity/Q80857005,en,literal,Castle Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
9,uri,http://www.wikidata.org/entity/Q608845,en,literal,Costa Coffee,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q171141,literal,,literal,,literal,http://www.wikidata.org/entity/Q919778,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,50000,,,,,,,,,,,,,,,,wd:Q145
