,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q7894395,en,literal,Universidade Presbiteriana Mackenzie,http://www.w3.org/2001/XMLSchema#dateTime,literal,1870-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
1,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q155
2,uri,http://www.wikidata.org/entity/Q1579222,en,literal,Ultrapar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1937-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,,,,,,,,,,,,,wd:Q155
3,uri,http://www.wikidata.org/entity/Q1130970,en,literal,Companhia Paranaense de Energia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1954-10-26T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4361,literal,,,,,,,,,,,,,,wd:Q155
4,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q792,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,,,,,,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,wd:Q155
5,uri,http://www.wikidata.org/entity/Q3109033,en,literal,Globosat,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-10-19T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q184452,literal,,literal,,literal,http://www.wikidata.org/entity/Q8678,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1400,,,,,,,,,,wd:Q155
6,uri,http://www.wikidata.org/entity/Q59203688,en,literal,Casa da Boia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
7,uri,http://www.wikidata.org/entity/Q7894370,en,literal,Federal University of Southern Frontier,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-09-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
8,uri,http://www.wikidata.org/entity/Q9555170,,literal,Q9555170,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,,,,,,,,,,,,,wd:Q155
9,uri,http://www.wikidata.org/entity/Q106311529,en,literal,Aoca Game Lab,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q36947,literal,,,,,,,,,,,,,,wd:Q155
10,uri,http://www.wikidata.org/entity/Q1131055,en,literal,Universidade Tecnológica Federal do Paraná,http://www.w3.org/2001/XMLSchema#dateTime,literal,1909-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4361,literal,,,,,,,,,,,,,,wd:Q155
11,uri,http://www.wikidata.org/entity/Q111020974,,literal,Q111020974,,,,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36947,literal,,,,,,,,,,,,,,wd:Q155
12,uri,http://www.wikidata.org/entity/Q9669735,en,literal,CCAA,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8678,literal,,,,,,,,pt-br,literal,Centro de Cultura Anglo Americana,,,,wd:Q155
13,uri,http://www.wikidata.org/entity/Q5011113,en,literal,Chesf,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q48344,literal,,,,,,,,,,,,,,wd:Q155
14,uri,http://www.wikidata.org/entity/Q7129529,en,literal,Banco Pan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,,,,,,,,,,,,,wd:Q155
15,uri,http://www.wikidata.org/entity/Q25420483,en,literal,TV Imaculada Conceição,,,,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q168929,literal,,,,,,,,,,,,,,wd:Q155
16,uri,http://www.wikidata.org/entity/Q7894400,en,literal,Universidade de Santa Cruz do Sul,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-05-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
17,uri,http://www.wikidata.org/entity/Q54087370,en,literal,Libreflix,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-08-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q155
18,uri,http://www.wikidata.org/entity/Q10274855,en,literal,Esmaltec,,,,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1794732,literal,,,,,,,,,,,,,,wd:Q155
19,uri,http://www.wikidata.org/entity/Q25437840,en,literal,Superintendência de Estudos Econômicos e Sociais da Bahia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36947,literal,,,,,,,,,,,,,,wd:Q155
