,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q11404905,en,literal,Tokachigawa Onsen,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
1,uri,http://www.wikidata.org/entity/Q2115012,en,literal,Good Smile Company,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11429428,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
2,uri,http://www.wikidata.org/entity/Q1041890,en,literal,Animate,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
3,uri,http://www.wikidata.org/entity/Q700466,en,literal,Audio-Technica,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q5358497,literal,,literal,,literal,http://www.wikidata.org/entity/Q210628,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
4,uri,http://www.wikidata.org/entity/Q7600657,en,literal,Star Channel,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
5,uri,http://www.wikidata.org/entity/Q11603362,en,literal,Hakone-en,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
6,uri,http://www.wikidata.org/entity/Q11642891,,literal,Q11642891,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-07-17T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
7,uri,http://www.wikidata.org/entity/Q5618753,en,literal,GungHo Online Entertainment,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q214051,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-07-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,333,,,,,,,,,,,,,,,,wd:Q17
8,uri,http://www.wikidata.org/entity/Q11535077,en,literal,Tsugaike-Kogen Ski Resort,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
9,uri,http://www.wikidata.org/entity/Q11291365,en,literal,Hotel Angel Grandia Echigo-Nakazato,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
10,uri,http://www.wikidata.org/entity/Q11659336,en,literal,Shueisha Creative,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-04-26T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
