,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q111020507,en,literal,Baltijas Mediju Alianse,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
1,uri,http://www.wikidata.org/entity/Q112916316,,literal,Q112916316,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
2,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q403,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
3,uri,http://www.wikidata.org/entity/Q913580,en,literal,MikroTik,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q1301371,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,en,literal,MikroTik,,,,,,,,,,wd:Q211
4,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,lv,literal,Latvijas Augstskola,,,,,,,,,,wd:Q211
5,uri,http://www.wikidata.org/entity/Q7386925,en,literal,Rīgas Apriņķa Avīze,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
6,uri,http://www.wikidata.org/entity/Q6514414,en,literal,Narvesen,http://www.w3.org/2001/XMLSchema#dateTime,literal,1894-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
7,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q28,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
8,uri,http://www.wikidata.org/entity/Q300924,en,literal,airBaltic,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2232018,literal,,,,,,,,,,,,,,wd:Q211
9,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
