,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q19707473,en,literal,Sunny Music,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
1,uri,http://www.wikidata.org/entity/Q106508620,en,literal,Health Zone,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-05-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
2,uri,http://www.wikidata.org/entity/Q98225196,en,literal,neosat,,,,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
3,uri,http://www.wikidata.org/entity/Q106093611,en,literal,"Gaida school ""Trakia""",http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
4,uri,http://www.wikidata.org/entity/Q101417751,en,literal,Alliance française Stara Zagora,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
5,uri,http://www.wikidata.org/entity/Q85614408,en,literal,TexCycle,,,,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q622934,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,wd:Q219
6,uri,http://www.wikidata.org/entity/Q63213940,en,literal,Perfect Home Ltd,,,,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q17200001,literal,,literal,,literal,http://www.wikidata.org/entity/Q6506,literal,,,,,,,,,,,wd:Q219
7,uri,http://www.wikidata.org/entity/Q66133376,en,literal,BulMag,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q181830,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,700,,,,,,,wd:Q219
8,uri,http://www.wikidata.org/entity/Q7937522,en,literal,Vivacom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,3406,mul,literal,BULGARIAN TELECOMMUNICATIONS COMPANY JSC,http://www.w3.org/2001/XMLSchema#decimal,literal,65300000,wd:Q219
9,uri,http://www.wikidata.org/entity/Q87444476,en,literal,Silviya's Beauty Box,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q219
