,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q106219885,en,literal,Kaspi.kz Joint Stock Company,http://www.w3.org/2001/XMLSchema#decimal,literal,3621,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q16319025,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,wd:Q232
1,uri,http://www.wikidata.org/entity/Q50809149,en,literal,Hilton Astana,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-11-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,en,literal,Hilton Astana,,,,,,,wd:Q232
2,uri,http://www.wikidata.org/entity/Q42800905,en,literal,Astana Banki,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q232
3,uri,http://www.wikidata.org/entity/Q1069105,en,literal,Kazakhstan Temir Zholy,http://www.w3.org/2001/XMLSchema#decimal,literal,146000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-03-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q7590,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,wd:Q232
4,uri,http://www.wikidata.org/entity/Q1417227,en,literal,KazMunayGas,http://www.w3.org/2001/XMLSchema#decimal,literal,89909,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-02-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,360100000000,,,,wd:Q232
5,uri,http://www.wikidata.org/entity/Q127745,en,literal,L. N. Gumilyov Eurasian National University,http://www.w3.org/2001/XMLSchema#decimal,literal,1678,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q232
6,uri,http://www.wikidata.org/entity/Q4407014,en,literal,Samruk-Kazyna,http://www.w3.org/2001/XMLSchema#decimal,literal,262200,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,"http://www.wikidata.org/entity/Q12162227, http://www.wikidata.org/entity/Q773103",literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,60600000000,wd:Q232
7,uri,http://www.wikidata.org/entity/Q4881566,en,literal,Bek Air,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q487439,literal,,,,,,,,,,,wd:Q232
8,uri,http://www.wikidata.org/entity/Q42201373,,literal,Q42201373,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q232
9,uri,http://www.wikidata.org/entity/Q746263,en,literal,Kazpost,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1883-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q49845,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,wd:Q232
10,uri,http://www.wikidata.org/entity/Q4341877,en,literal,A. P. Chekhov Drama Theatre,,,,,,,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q232
11,uri,http://www.wikidata.org/entity/Q50809149,en,literal,Hilton Astana,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-11-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,kk-kz,literal,Hilton Astana,,,,,,,wd:Q232
12,uri,http://www.wikidata.org/entity/Q18608194,,literal,Q18608194,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-10-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q232
13,uri,http://www.wikidata.org/entity/Q1046186,en,literal,Halyk Bank,http://www.w3.org/2001/XMLSchema#decimal,literal,16131,http://www.w3.org/2001/XMLSchema#dateTime,literal,1923-08-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,wd:Q232
14,uri,http://www.wikidata.org/entity/Q13421587,en,literal,Kaznetmedia,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,wd:Q232
15,uri,http://www.wikidata.org/entity/Q1737636,en,literal,Kcell,http://www.w3.org/2001/XMLSchema#decimal,literal,1612,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,wd:Q232
16,uri,http://www.wikidata.org/entity/Q101436234,en,literal,rabotanur.kz,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,"http://www.wikidata.org/entity/Q629194, http://www.wikidata.org/entity/Q11661",literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,wd:Q232
17,uri,http://www.wikidata.org/entity/Q1590386,en,literal,Kazatomprom,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-07-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q44497,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,wd:Q232
18,uri,http://www.wikidata.org/entity/Q1168179,en,literal,Kazkommertsbank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,wd:Q232
19,uri,http://www.wikidata.org/entity/Q1336498,en,literal,ForteBank,http://www.w3.org/2001/XMLSchema#decimal,literal,3492,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,wd:Q232
20,uri,http://www.wikidata.org/entity/Q4289246,en,literal,Mektep,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q232
