,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q2786319,en,literal,Flying Tiger Copenhagen,http://www.w3.org/2001/XMLSchema#decimal,literal,40000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2178686,literal,,,,,,,,,,,,,,,,,wd:Q35
1,uri,http://www.wikidata.org/entity/Q3437386,en,literal,Museum Tusculanum Press,http://www.w3.org/2001/XMLSchema#decimal,literal,12,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1748,literal,,,,,,,,,,,,,,,,,wd:Q35
2,uri,http://www.wikidata.org/entity/Q12342886,en,literal,Agat Ejendomme,http://www.w3.org/2001/XMLSchema#decimal,literal,45,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,"http://www.wikidata.org/entity/Q17487600, http://www.wikidata.org/entity/Q1618728",literal,,literal,,literal,http://www.wikidata.org/entity/Q300856,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,-191900000,da,literal,TK Development A/S,,,,,,,,,,wd:Q35
3,uri,http://www.wikidata.org/entity/Q3246599,en,literal,Nordjyllands Trafikselskab,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q25410,literal,,,,,,,,,,,,,,,,,wd:Q35
4,uri,http://www.wikidata.org/entity/Q114905024,en,literal,Everfuel,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q27393,literal,,,,,,,,,,,,,,,,,wd:Q35
5,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,,,,zh-hans,literal,世界卫生组织,,,,,,,,,,wd:Q35
6,uri,http://www.wikidata.org/entity/Q63457430,,literal,Q63457430,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
7,uri,http://www.wikidata.org/entity/Q12302565,en,literal,Axcel,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1748,literal,,,,,,,,,,,,,,,,,wd:Q35
8,uri,http://www.wikidata.org/entity/Q64139027,en,literal,Omoda,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1875-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q81076,literal,,,,,nl,literal,Omoda B.V.,,,,,,,,,,wd:Q35
9,uri,http://www.wikidata.org/entity/Q20015996,en,literal,Mash,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
