,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1049,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
1,uri,http://www.wikidata.org/entity/Q4700704,en,literal,Akhbar Al Khaleej,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q398
2,uri,http://www.wikidata.org/entity/Q803640,en,literal,Bahrain Petroleum Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1929-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q4115261,literal,,,,,,,,,,,wd:Q398
3,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
4,uri,http://www.wikidata.org/entity/Q4703513,en,literal,Al Ayam,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3882,literal,,,,,,,,,,,wd:Q398
5,uri,http://www.wikidata.org/entity/Q310130,en,literal,Al-Wasat,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-09-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3882,literal,,,,,,,,,,,wd:Q398
6,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
7,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4393877000,wd:Q398
8,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4393877000,wd:Q398
9,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q810,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
10,uri,http://www.wikidata.org/entity/Q109969337,en,literal,Alliance Francaise Bahrain,,,,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q398
11,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q817,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
12,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
13,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q974,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
