,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q833,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
1,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
2,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
3,uri,http://www.wikidata.org/entity/Q62534875,en,literal,Tela,uri,http://www.wikidata.org/entity/Q424,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,,,,,,,wd:Q424
4,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,uri,http://www.wikidata.org/entity/Q833,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
5,uri,http://www.wikidata.org/entity/Q66913898,en,literal,White Rose Restaurant,uri,http://www.wikidata.org/entity/Q424,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
6,uri,http://www.wikidata.org/entity/Q66587525,en,literal,The Balcony,uri,http://www.wikidata.org/entity/Q424,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
7,uri,http://www.wikidata.org/entity/Q65095488,en,literal,Cafe Eden,uri,http://www.wikidata.org/entity/Q424,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
8,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q16,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
9,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
10,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q833,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
11,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q836,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
12,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
13,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q865,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
14,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
15,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
16,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q424,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
17,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,uri,http://www.wikidata.org/entity/Q424,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
18,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
19,uri,http://www.wikidata.org/entity/Q64485166,en,literal,Here Be Dragons,uri,http://www.wikidata.org/entity/Q424,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
20,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
21,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,uri,http://www.wikidata.org/entity/Q881,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
22,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q424,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
23,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q881,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
24,uri,http://www.wikidata.org/entity/Q54975760,en,literal,Amansara,uri,http://www.wikidata.org/entity/Q424,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,wd:Q424
25,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q921,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
26,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,uri,http://www.wikidata.org/entity/Q921,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
27,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q334,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
28,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,wd:Q424
29,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,uri,http://www.wikidata.org/entity/Q334,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
30,uri,http://www.wikidata.org/entity/Q2819053,en,literal,ACLEDA Bank,uri,http://www.wikidata.org/entity/Q424,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1850,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,,,,,,,wd:Q424
31,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q424
32,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
33,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q334,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
34,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,wd:Q424
