,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,country
0,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,wd:Q774
1,uri,http://www.wikidata.org/entity/Q5715556,en,literal,Bank of Central America,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q811,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3274,literal,,wd:Q774
2,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q783,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,wd:Q774
3,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q983,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,wd:Q774
4,uri,http://www.wikidata.org/entity/Q16492577,en,literal,El Periódico,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-11-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q774,literal,,literal,http://www.wikidata.org/entity/Q6293929,literal,,literal,http://www.wikidata.org/entity/Q1555,literal,,wd:Q774
5,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,wd:Q774
6,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q786,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,wd:Q774
7,uri,http://www.wikidata.org/entity/Q62564610,en,literal,Farmacias Similares,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-09-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,wd:Q774
8,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,wd:Q774
9,uri,http://www.wikidata.org/entity/Q7068605,en,literal,Nuestro Diario,,,,,,,uri,http://www.wikidata.org/entity/Q774,literal,,literal,,literal,,literal,,literal,,wd:Q774
10,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q792,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,wd:Q774
11,uri,http://www.wikidata.org/entity/Q18222581,en,literal,College of the Company of Jesus,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1608-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q774,literal,,literal,,literal,,literal,,literal,,wd:Q774
