,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,,,,wd:Q79
1,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,zh-hans,literal,世界卫生组织,,,,wd:Q79
2,uri,http://www.wikidata.org/entity/Q1935533,en,literal,Millie's Cookies,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q79
3,uri,http://www.wikidata.org/entity/Q110474113,en,literal,Sandouk,,,,,,,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q79
4,uri,http://www.wikidata.org/entity/Q110072751,en,literal,Ithaka Hostel,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q79
5,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q27,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,wd:Q79
6,uri,http://www.wikidata.org/entity/Q105659399,en,literal,Saint Mark Foundation for Coptic Studies,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1065497, http://www.wikidata.org/entity/Q145356",literal,,,,,,,,wd:Q79
7,uri,http://www.wikidata.org/entity/Q57655796,en,literal,Captain’s Inn,,,,,,,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q79
8,uri,http://www.wikidata.org/entity/Q110488344,en,literal,Foul Mohamed Ahmed,,,,,,,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q79
9,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q59750463,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,,,,wd:Q79
