,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q111098404,en,literal,digifile.shop,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-10-08T00:00:00Z,,,,,,,wd:Q794
1,uri,http://www.wikidata.org/entity/Q56887628,en,literal,Eghtesad Online,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,wd:Q794
2,uri,http://www.wikidata.org/entity/Q111647270,en,literal,Avaye Shabahang Records,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-03-02T00:00:00Z,,,,,,,wd:Q794
3,uri,http://www.wikidata.org/entity/Q65199490,en,literal,Ofoq Kourosh,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q507619,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q794
4,uri,http://www.wikidata.org/entity/Q28713876,en,literal,Student News Network,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,wd:Q794
5,uri,http://www.wikidata.org/entity/Q10296776,en,literal,MTN Irancell,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,wd:Q794
6,uri,http://www.wikidata.org/entity/Q6972890,en,literal,National Geographic Farsi,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q740893,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,wd:Q794
7,uri,http://www.wikidata.org/entity/Q5907674,en,literal,IRIB News,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,,,,,,,,,,wd:Q794
8,uri,http://www.wikidata.org/entity/Q61060051,en,literal,eSam,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q330284, http://www.wikidata.org/entity/Q177923",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-21T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,63,,,,wd:Q794
9,uri,http://www.wikidata.org/entity/Q114822510,en,literal,irmelk_company,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q8148,literal,,literal,,literal,http://www.wikidata.org/entity/Q2629400,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-09-23T00:00:00Z,,,,fa,literal,اسکان سازان پیشتاز,wd:Q794
10,uri,http://www.wikidata.org/entity/Q7307085,en,literal,Refah Chain Stores Co.,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,,,,,,,wd:Q794
11,uri,http://www.wikidata.org/entity/Q5914596,en,literal,Zanjan University of Medical Sciences,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,,,,,,,wd:Q794
12,uri,http://www.wikidata.org/entity/Q5954274,en,literal,Melli Shoe,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q22676,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,,,,,,,wd:Q794
13,uri,http://www.wikidata.org/entity/Q21996843,en,literal,Ponisha,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-12-01T00:00:00Z,,,,,,,wd:Q794
14,uri,http://www.wikidata.org/entity/Q5936377,en,literal,Iran Transfo,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q146699,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,,,,,,,wd:Q794
15,uri,http://www.wikidata.org/entity/Q1672387,en,literal,Iranian Students News Agency,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,wd:Q794
16,uri,http://www.wikidata.org/entity/Q2364877,en,literal,Iran Daily,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,,,,wd:Q794
17,uri,http://www.wikidata.org/entity/Q1149762,en,literal,Mahan Air,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,,,,,,,wd:Q794
18,uri,http://www.wikidata.org/entity/Q5678438,en,literal,Digikala,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-07-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,8200,,,,wd:Q794
19,uri,http://www.wikidata.org/entity/Q5934423,en,literal,Iran Zamin Bank,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,,,,wd:Q794
20,uri,http://www.wikidata.org/entity/Q747391,en,literal,National Iranian Petrochemical Company,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q207652,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,,,,,,,wd:Q794
21,uri,http://www.wikidata.org/entity/Q2882624,en,literal,Bank Sepah,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1925-01-01T00:00:00Z,,,,,,,wd:Q794
22,uri,http://www.wikidata.org/entity/Q5862675,en,literal,Ansar Bank,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q794
