,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country
0,uri,http://www.wikidata.org/entity/Q6825178,en,literal,Hilton Beirut Metropolitan Palace,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,,literal,,en,literal,Hilton Beirut Metropolitan Palace,,,,wd:Q822
1,uri,http://www.wikidata.org/entity/Q113027105,en,literal,Dār al-Muḥajjah al-Bayḍāʼ,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2915324,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,wd:Q822
2,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q1049,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
3,uri,http://www.wikidata.org/entity/Q111680406,en,literal,Dar Al Kalam,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,,,,wd:Q822
4,uri,http://www.wikidata.org/entity/Q26220930,en,literal,Social Entertainment,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,wd:Q822
5,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q822
6,uri,http://www.wikidata.org/entity/Q4068569,en,literal,Ararad,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1937-11-12T00:00:00Z,wd:Q822
7,uri,http://www.wikidata.org/entity/Q12211250,en,literal,Dār al-ʿIlm lil-Malāyīn,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,wd:Q822
8,uri,http://www.wikidata.org/entity/Q5473211,en,literal,Forward Music,uri,http://www.wikidata.org/entity/Q822,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,wd:Q822
9,uri,http://www.wikidata.org/entity/Q16526979,en,literal,Anghami,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q822
10,uri,http://www.wikidata.org/entity/Q12242302,en,literal,Centre for Arab Unity Studies,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,wd:Q822
11,uri,http://www.wikidata.org/entity/Q110449930,en,literal,arab encyclopedia house,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,wd:Q822
12,uri,http://www.wikidata.org/entity/Q5120860,en,literal,Cinemoz,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3820,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,wd:Q822
