,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q12199341,en,literal,Bank Aljazira,ar,literal,بنك الجزيرة,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-06-21T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,86544344000,http://www.w3.org/2001/XMLSchema#decimal,literal,8828839000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q374365,literal,,,,,,,,,,,wd:Q851
1,uri,http://www.wikidata.org/entity/Q20401373,en,literal,Saudi Marketing Co.,ar,literal,الشركة السعودية للتسويق,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-12-02T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2262675000,http://www.w3.org/2001/XMLSchema#decimal,literal,641151000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
2,uri,http://www.wikidata.org/entity/Q20403318,en,literal,Al Hassan Ghazi Ibrahim Shaker Co.,ar,literal,شركة الحسن غازي إبراهيم شاكر,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-04-03T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1467271000,http://www.w3.org/2001/XMLSchema#decimal,literal,874399000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
3,uri,http://www.wikidata.org/entity/Q7408955,en,literal,Samba Financial Group,ar,literal,مجموعة سامبا المالية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-02-12T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,255603801000,http://www.w3.org/2001/XMLSchema#decimal,literal,45358820000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
4,uri,http://www.wikidata.org/entity/Q65075189,en,literal,Saudia Cargo,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
5,uri,http://www.wikidata.org/entity/Q1761176,en,literal,Al-Rajhi Bank,ar,literal,مصرف الراجحي,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,384086576000,http://www.w3.org/2001/XMLSchema#decimal,literal,51191657000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q1416657,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6000,,,,,,,wd:Q851
6,uri,http://www.wikidata.org/entity/Q108537438,en,literal,Half Million,ar,literal,شركة نصف مليون لتقديم المشروبات,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-04-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q540912, http://www.wikidata.org/entity/Q30022, http://www.wikidata.org/entity/Q8486",literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
7,uri,http://www.wikidata.org/entity/Q105710068,en,literal,EXHEALS,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
8,uri,http://www.wikidata.org/entity/Q1761176,en,literal,Al-Rajhi Bank,ar,literal,مصرف الراجحي,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,384086576000,http://www.w3.org/2001/XMLSchema#decimal,literal,55750918000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q1416657,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,7600,,,,,,,wd:Q851
9,uri,http://www.wikidata.org/entity/Q4832749,en,literal,Panda Retail Company,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q750656,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
