,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,officialname.xml:lang,officialname.type,officialname.value,equity.datatype,equity.type,equity.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q180432,en,literal,Emirates,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,http://www.wikidata.org/entity/Q7803316,literal,,literal,http://www.wikidata.org/entity/Q3501086,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,100000,http://www.w3.org/2001/XMLSchema#decimal,literal,127587000000,,,,,,,,,,wd:Q878
1,uri,http://www.wikidata.org/entity/Q34204337,en,literal,Waldorf Astoria Dubai Palm Jumeirah,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Waldorf Astoria Dubai Palm Jumeirah,,,,,,,wd:Q878
2,uri,http://www.wikidata.org/entity/Q5310498,en,literal,Dubai Aerospace Enterprise,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
3,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
4,uri,http://www.wikidata.org/entity/Q64732479,en,literal,EDGE Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-11-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1985622,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
5,uri,http://www.wikidata.org/entity/Q66660297,en,literal,Hilton Garden Inn Dubai Al Mina,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Hilton Garden Inn Dubai Al Mina,,,,,,,wd:Q878
6,uri,http://www.wikidata.org/entity/Q30147522,en,literal,Hilton Dubai Jumeirah,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1495452,literal,,literal,,literal,,literal,,,,,,,,ar,literal,هيلتون دبي جميرا,,,,,,,wd:Q878
7,uri,http://www.wikidata.org/entity/Q96755874,en,literal,"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
8,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,,,,wd:Q878
9,uri,http://www.wikidata.org/entity/Q5827792,en,literal,W Motors,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
