,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q16180011,en,literal,Bugs!,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
1,uri,http://www.wikidata.org/entity/Q28048734,en,literal,Around US Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
2,uri,http://www.wikidata.org/entity/Q105697039,en,literal,SouthPAW Games,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
3,uri,http://www.wikidata.org/entity/Q211165,en,literal,Asiana Airlines,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2647427,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-02-17T00:00:00Z,ko,literal,아시아나항공 주식회사,,,,,,,,,,,,,wd:Q884
4,uri,http://www.wikidata.org/entity/Q11133743,en,literal,KeyEast,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q625568,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
5,uri,http://www.wikidata.org/entity/Q12595115,en,literal,Melon,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q47164, http://www.wikidata.org/entity/Q65",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
6,uri,http://www.wikidata.org/entity/Q65406508,en,literal,LOEN Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
7,uri,http://www.wikidata.org/entity/Q490142,en,literal,Amorepacific Corporation,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q55732357,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-06-01T00:00:00Z,ko,literal,주식회사 아모레퍼시픽,,,,,,,,,,,,,wd:Q884
8,uri,http://www.wikidata.org/entity/Q494158,en,literal,SK Group,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q778575,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
9,uri,http://www.wikidata.org/entity/Q12580769,en,literal,SM Culture & Contents,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q19595701,literal,,literal,,literal,http://www.wikidata.org/entity/Q2647706,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-05-13T00:00:00Z,en,literal,"SM Culture & Contents Co., Ltd.",,,,,,,,,,,,,wd:Q884
10,uri,http://www.wikidata.org/entity/Q485908,en,literal,KT Corporation,uri,http://www.wikidata.org/entity/Q884,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q42108,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
11,uri,http://www.wikidata.org/entity/Q483924,en,literal,The Chosun Ilbo,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-03-05T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
12,uri,http://www.wikidata.org/entity/Q109579175,en,literal,YUE HUA Entertainment Korea,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
13,uri,http://www.wikidata.org/entity/Q12599540,en,literal,VIPS,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q1751445, http://www.wikidata.org/entity/Q171141",literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
14,uri,http://www.wikidata.org/entity/Q624076,en,literal,Samsung Card,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q50441,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2082,,,,,,,,,,wd:Q884
15,uri,http://www.wikidata.org/entity/Q333206,en,literal,Yonhap News Agency,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36929,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-12-19T00:00:00Z,en,literal,Yonhap News Agency,,,,,,,,,,,,,wd:Q884
16,uri,http://www.wikidata.org/entity/Q16180845,en,literal,Jellyfish Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,ko,literal,젤리피쉬엔터테인먼트 주식회사,,,,,,,,,,,,,wd:Q884
17,uri,http://www.wikidata.org/entity/Q624440,en,literal,The Face Shop,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36929,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
18,uri,http://www.wikidata.org/entity/Q21825247,en,literal,Conrad Seoul,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-11-12T00:00:00Z,ko,literal,콘래드 서울,,,,,,,,,,,,,wd:Q884
19,uri,http://www.wikidata.org/entity/Q5150442,en,literal,Com2uS,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q210167,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-07-31T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
20,uri,http://www.wikidata.org/entity/Q15635831,en,literal,Chrome Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
21,uri,http://www.wikidata.org/entity/Q213147,en,literal,Korean Air,uri,http://www.wikidata.org/entity/Q884,literal,,literal,http://www.wikidata.org/entity/Q18648498,literal,,literal,http://www.wikidata.org/entity/Q2647541,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-03-01T00:00:00Z,ko,literal,주식회사 대한항공,,,,,,,,,,,,,wd:Q884
22,uri,http://www.wikidata.org/entity/Q483238,en,literal,JYP Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q638,literal,,literal,,literal,http://www.wikidata.org/entity/Q2647706,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-04-25T00:00:00Z,en,literal,JYP Entertainment Corporation,,,,,,,,,,,,,wd:Q884
23,uri,http://www.wikidata.org/entity/Q16180845,en,literal,Jellyfish Entertainment,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,en,literal,"JELLYFISH ENTERTAINMENT CO., LTD.",,,,,,,,,,,,,wd:Q884
24,uri,http://www.wikidata.org/entity/Q16174772,en,literal,Rainbow Bridge World,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-03-05T00:00:00Z,,,,,,,,,,,,,,,,wd:Q884
25,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q27,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1345, http://www.wikidata.org/entity/Q2662373",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q884
