,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q108057456,en,literal,Puaz Wear,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q12684,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,,,,,,,wd:Q924
1,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Romotive,wd:Q924
2,uri,http://www.wikidata.org/entity/Q111903250,en,literal,Puaz Music Group,uri,http://www.wikidata.org/entity/Q924,literal,"http://www.wikidata.org/entity/Q173799, http://www.wikidata.org/entity/Q638",literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,en,literal,Puaz Music Group,wd:Q924
3,uri,http://www.wikidata.org/entity/Q4832231,en,literal,Azania Bank,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,,,,wd:Q924
4,uri,http://www.wikidata.org/entity/Q957305,en,literal,Precision Air,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,,,,wd:Q924
5,uri,http://www.wikidata.org/entity/Q25054185,en,literal,Swala Gas and Oil,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,wd:Q924
6,uri,http://www.wikidata.org/entity/Q72988389,en,literal,DoubleTree by Hilton Hotel Zanzibar - Stone Town,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,en,literal,DoubleTree by Hilton Hotel Zanzibar - Stone Town,wd:Q924
7,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Zipline International,wd:Q924
8,uri,http://www.wikidata.org/entity/Q1630751,en,literal,Young Africans S.C.,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-02-11T00:00:00Z,en,literal,Young Africans Sports Club,wd:Q924
9,uri,http://www.wikidata.org/entity/Q17097901,en,literal,Tanzania Telecommunications Company Limited,uri,http://www.wikidata.org/entity/Q924,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,,,,wd:Q924
10,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Romotive,wd:Q924
11,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Zipline International,wd:Q924
12,uri,http://www.wikidata.org/entity/Q55263377,en,literal,Domoboiz Life,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q30, http://www.wikidata.org/entity/Q924, http://www.wikidata.org/entity/Q145",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-02-10T00:00:00Z,,,,wd:Q924
13,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Romotive,wd:Q924
14,uri,http://www.wikidata.org/entity/Q407842,en,literal,Air Tanzania,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,,,,wd:Q924
15,uri,http://www.wikidata.org/entity/Q5384667,en,literal,Equity Bank Tanzania,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,wd:Q924
16,uri,http://www.wikidata.org/entity/Q25339999,en,literal,Diamond Trust Bank,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,,,,wd:Q924
