,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,wd:Q963
1,uri,http://www.wikidata.org/entity/Q4948910,en,literal,Botswana Power Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q963,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2177,,,,wd:Q963
2,uri,http://www.wikidata.org/entity/Q104866602,en,literal,Sefalana,,,,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,wd:Q963
3,uri,http://www.wikidata.org/entity/Q111184141,en,literal,The Bulb World,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q210064, http://www.wikidata.org/entity/Q11650",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,wd:Q963
4,uri,http://www.wikidata.org/entity/Q4948910,en,literal,Botswana Power Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q963,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1870,,,,wd:Q963
5,uri,http://www.wikidata.org/entity/Q406896,en,literal,Air Botswana,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1327949,literal,,,,,en,literal,Air Botswana Corporation,wd:Q963
6,uri,http://www.wikidata.org/entity/Q111174367,en,literal,Verbosec,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q80993, http://www.wikidata.org/entity/Q11661",literal,http://www.wikidata.org/entity/Q110778693,literal,,literal,,literal,,,,,en,literal,"Verbosec, Inc.",wd:Q963
7,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
8,uri,http://www.wikidata.org/entity/Q111174367,en,literal,Verbosec,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q80993, http://www.wikidata.org/entity/Q11661",literal,http://www.wikidata.org/entity/Q110778693,literal,,literal,,literal,,,,,en,literal,Verbosec Proprietary Limited,wd:Q963
9,uri,http://www.wikidata.org/entity/Q18356125,en,literal,Mascom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-02-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q1941618, http://www.wikidata.org/entity/Q418",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,wd:Q963
10,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,wd:Q963
11,uri,http://www.wikidata.org/entity/Q7973406,en,literal,Water Utilities Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q165422,literal,,,,,,,,wd:Q963
12,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1013,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,wd:Q963
13,uri,http://www.wikidata.org/entity/Q111184141,en,literal,The Bulb World,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,"http://www.wikidata.org/entity/Q210064, http://www.wikidata.org/entity/Q11650",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,wd:Q963
14,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
15,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1030,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,wd:Q963
16,uri,http://www.wikidata.org/entity/Q18356125,en,literal,Mascom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q1941618, http://www.wikidata.org/entity/Q418",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,wd:Q963
17,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
18,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1050,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,wd:Q963
19,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
20,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
21,uri,http://www.wikidata.org/entity/Q4948925,en,literal,Botswana Telecommunications Corporation,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,947,,,,wd:Q963
22,uri,http://www.wikidata.org/entity/Q56319592,,literal,Q56319592,,,,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q963
23,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
24,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
25,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1030,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,wd:Q963
26,uri,http://www.wikidata.org/entity/Q4948874,en,literal,BotswanaPost,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,wd:Q963
27,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q954,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,wd:Q963
