owned_id,owner_id,date
Q10620164,Q11225149,2020-03-23T00:00:00Z
Q333040,Q41187,
Q376692,Q41187,
Q1913796,Q53238,
Q2635539,Q41187,
Q7039137,Q8093,
Q7130111,Q53247,
Q11320256,Q8093,
Q11332391,Q53238,
Q113635385,Q85329888,
Q129911,Q156034,
Q129911,Q1054787,
Q153075,Q720479,
Q156034,Q1317270,
Q259865,Q288727,
Q372435,Q1189945,
Q2735739,Q973054,
Q3072965,Q179433,
Q3341523,Q720479,
Q4835667,Q219203,
Q5214141,Q744800,
Q5322556,Q2214105,
Q5358428,Q7554556,
Q6315712,Q1475699,
Q6804103,Q720479,
Q11199029,Q186394,
Q11354300,Q519611,
Q11463109,Q83584,
Q11363237,Q3543891,
Q17218805,Q2660418,
Q5253950,Q720479,2019-01-01T00:00:00Z
Q122741,Q29469450,2015-01-01T00:00:00Z
Q49203,Q53247,2009-12-01T00:00:00Z
Q489187,Q288727,2017-01-01T00:00:00Z
Q296782,Q201653,2016-01-01T00:00:00Z
Q109269204,Q844822,
Q1071352,Q297315,
Q5363319,Q1357695,
Q6965236,Q502125,
Q8011294,Q1054765,
Q11463107,Q83584,
Q11508225,Q502125,
Q11495410,Q1557223,
Q11526963,Q1332242,
Q11527004,Q1332242,
Q11604928,Q499071,
Q11226160,Q498930,
Q688619,Q41187,
Q1320443,Q41187,
Q1543585,Q20165,
Q420837,Q179433,
Q853958,Q1054787,
Q865859,Q720479,
Q905049,Q899133,
Q1038929,Q271413,
Q1027454,Q720479,
Q1030691,Q1054787,
Q1150494,Q656229,
Q1771114,Q322601,
Q1619253,Q1479654,
Q17209588,Q1539141,
Q11302286,Q45700,
Q110211368,Q201487,
Q114950707,Q207784,
Q660288,Q844822,
Q908436,Q720503,
Q1155260,Q844822,
Q1432506,Q138133,
Q2882956,Q166621,
Q4765251,Q770328,
Q5209407,Q11225149,
Q6502903,Q683146,
Q7418694,Q1197261,
Q10851321,Q726081,
Q11306616,Q645218,
Q11517524,Q444649,
Q296782,Q201653,
Q301965,Q201653,
Q858452,Q3138937,
Q1358933,Q11229109,
Q11345133,Q3138937,
Q56345672,Q85329888,
