company_id,val_id,edge_typ,node_typ
Q4783148,Q1963,HEADQUARTERS,Location
Q7370229,Q1519,HEADQUARTERS,Location
Q4783148,Q1049,RESIDES_IN,Location
Q7370229,Q43,RESIDES_IN,Location
Q12183740,Q1049,RESIDES_IN,Location
Q4783148,4_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q7370229,4_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q12183740,4_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q4783148,4_profit,PROFIT_BAND,Quant_Metric
Q7370229,4_profit,PROFIT_BAND,Quant_Metric
Q12183740,4_profit,PROFIT_BAND,Quant_Metric
Q4783148,4_assets,ASSETS_BAND,Quant_Metric
Q7370229,4_assets,ASSETS_BAND,Quant_Metric
Q12183740,4_assets,ASSETS_BAND,Quant_Metric
Q4783148,4_equity,EQUITY_BAND,Quant_Metric
Q7370229,4_equity,EQUITY_BAND,Quant_Metric
Q12183740,4_equity,EQUITY_BAND,Quant_Metric
Q4783148,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q7370229,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q12183740,4_market_cap,MARKET_CAP_BAND,Quant_Metric
