company_id,val_id,edge_typ,node_typ
Q17061030,Q126793,INDUSTRY,Industry
Q3323637,Q25245117,INDUSTRY,Industry
Q3273241,Q56598901,INDUSTRY,Industry
Q3273241, Q25245117,INDUSTRY,Industry
Q17061030,Q59750463,CEO,Person
Q17061030,Q1024647,HEADQUARTERS,Location
Q3273241,Q1008,HEADQUARTERS,Location
Q3488360,Q1008,RESIDES_IN,Location
Q17061030,Q117,RESIDES_IN,Location
Q60183335,Q1008,RESIDES_IN,Location
Q3323637,Q1008,RESIDES_IN,Location
Q3273241,Q1008,RESIDES_IN,Location
Q17061030,9_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q3488360,4_profit,PROFIT_BAND,Quant_Metric
Q17061030,4_profit,PROFIT_BAND,Quant_Metric
Q60183335,4_profit,PROFIT_BAND,Quant_Metric
Q3323637,4_profit,PROFIT_BAND,Quant_Metric
Q3273241,4_profit,PROFIT_BAND,Quant_Metric
Q3488360,4_assets,ASSETS_BAND,Quant_Metric
Q17061030,4_assets,ASSETS_BAND,Quant_Metric
Q60183335,4_assets,ASSETS_BAND,Quant_Metric
Q3323637,4_assets,ASSETS_BAND,Quant_Metric
Q3273241,4_assets,ASSETS_BAND,Quant_Metric
Q3488360,4_equity,EQUITY_BAND,Quant_Metric
Q17061030,4_equity,EQUITY_BAND,Quant_Metric
Q60183335,4_equity,EQUITY_BAND,Quant_Metric
Q3323637,4_equity,EQUITY_BAND,Quant_Metric
Q3273241,4_equity,EQUITY_BAND,Quant_Metric
Q3488360,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q17061030,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q60183335,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q3323637,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q3273241,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q17061030,Q126793,INDUSTRY,Industry
Q28404980,Q12752882,INDUSTRY,Industry
Q48780935,Q25245117,INDUSTRY,Industry
Q17061030,Q59750463,CEO,Person
Q17061030,Q1024647,HEADQUARTERS,Location
Q28404980,Q1009,HEADQUARTERS,Location
Q17061030,Q117,RESIDES_IN,Location
Q106155702,Q1009,RESIDES_IN,Location
Q28404980,Q1009,RESIDES_IN,Location
Q48780935,Q1009,RESIDES_IN,Location
Q17061030,9_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q17061030,4_profit,PROFIT_BAND,Quant_Metric
Q106155702,4_profit,PROFIT_BAND,Quant_Metric
Q28404980,4_profit,PROFIT_BAND,Quant_Metric
Q48780935,4_profit,PROFIT_BAND,Quant_Metric
Q17061030,4_assets,ASSETS_BAND,Quant_Metric
Q106155702,4_assets,ASSETS_BAND,Quant_Metric
Q28404980,4_assets,ASSETS_BAND,Quant_Metric
Q48780935,4_assets,ASSETS_BAND,Quant_Metric
Q17061030,4_equity,EQUITY_BAND,Quant_Metric
Q106155702,4_equity,EQUITY_BAND,Quant_Metric
Q28404980,4_equity,EQUITY_BAND,Quant_Metric
Q48780935,4_equity,EQUITY_BAND,Quant_Metric
Q17061030,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q106155702,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q28404980,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q48780935,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q387901,Q3579,HEADQUARTERS,Location
Q24707852,Q3579,HEADQUARTERS,Location
Q24707852, Q233,HEADQUARTERS,Location
Q387901,Q1016,RESIDES_IN,Location
Q24707852,Q1016,RESIDES_IN,Location
Q387901,4_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q24707852,4_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q387901,4_profit,PROFIT_BAND,Quant_Metric
Q24707852,4_profit,PROFIT_BAND,Quant_Metric
Q387901,4_assets,ASSETS_BAND,Quant_Metric
Q24707852,4_assets,ASSETS_BAND,Quant_Metric
Q387901,4_equity,EQUITY_BAND,Quant_Metric
Q24707852,4_equity,EQUITY_BAND,Quant_Metric
Q387901,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q24707852,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q106689581,Q837171,INDUSTRY,Industry
Q407556,Q3929,HEADQUARTERS,Location
Q106689581,Q145,RESIDES_IN,Location
Q407556,Q1027,RESIDES_IN,Location
Q106689581,4_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q407556,4_employee_count,EMPLOYEE_COUNT_BAND,Quant_Metric
Q106689581,4_profit,PROFIT_BAND,Quant_Metric
Q407556,4_profit,PROFIT_BAND,Quant_Metric
Q106689581,4_assets,ASSETS_BAND,Quant_Metric
Q407556,4_assets,ASSETS_BAND,Quant_Metric
Q106689581,4_equity,EQUITY_BAND,Quant_Metric
Q407556,4_equity,EQUITY_BAND,Quant_Metric
Q106689581,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q407556,4_market_cap,MARKET_CAP_BAND,Quant_Metric
Q110969032,Q1540863,INDUSTRY,Industry
Q110969032, Q1323528,INDUSTRY,Industry
Q110969032, Q1058914,INDUSTRY,Industry
Q110969032, Q20031260,INDUSTRY,Industry
Q2055692,Q331814,INDUSTRY,Industry
Q56300032,Q862571,INDUSTRY,Industry
Q114671099,Q2516512,INDUSTRY,Industry
Q2819353,Q112166047,INDUSTRY,Industry
Q114853679,Q2516512,INDUSTRY,Industry
Q17061030,Q126793,INDUSTRY,Industry
Q114727483,Q2516512,INDUSTRY,Industry
Q114771384,Q2516512,INDUSTRY,Industry
Q2868678,Q331814,INDUSTRY,Industry
Q3139309,Q1757562,INDUSTRY,Industry
Q3139309, Q867147,INDUSTRY,Industry
Q3139309, Q837171,INDUSTRY,Industry
Q3139309, Q684740,INDUSTRY,Industry
Q3139309, Q396622,INDUSTRY,Industry
Q1138480,Q126793,INDUSTRY,Industry
Q2300433,Q1416657,INDUSTRY,Industry
Q2300433, Q837171,INDUSTRY,Industry
Q2300433, Q806718,INDUSTRY,Industry
Q114679539,Q2516512,INDUSTRY,Industry
Q2829178,Q862571,INDUSTRY,Industry
Q56240889,Q56611700,INDUSTRY,Industry
Q2883441,Q1416657,INDUSTRY,Industry
Q2883441, Q837171,INDUSTRY,Industry
Q2883441, Q806718,INDUSTRY,Industry
Q114666905,Q2516512,INDUSTRY,Industry
Q97304034,Q126793,INDUSTRY,Industry
Q114707454,Q2516512,INDUSTRY,Industry
Q3197636,Q126793,INDUSTRY,Industry
Q105653472,Q33381136,INDUSTRY,Industry
Q114853749,Q2516512,INDUSTRY,Industry
Q114853700,Q2516512,INDUSTRY,Industry
Q42794743,Q43183,INDUSTRY,Industry
Q114853646,Q2516512,INDUSTRY,Industry
