,company.type,company.value,owner.type,owner.value,acquiredate.datatype,acquiredate.type,acquiredate.value
0,uri,http://www.wikidata.org/entity/Q726572,uri,http://www.wikidata.org/entity/Q3833050,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-01-01T00:00:00Z
1,uri,http://www.wikidata.org/entity/Q113502386,uri,http://www.wikidata.org/entity/Q1355904,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z
2,uri,http://www.wikidata.org/entity/Q56777493,uri,http://www.wikidata.org/entity/Q85355,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z
3,uri,http://www.wikidata.org/entity/Q48976578,uri,http://www.wikidata.org/entity/Q746413,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-06-01T00:00:00Z
4,uri,http://www.wikidata.org/entity/Q1476162,uri,http://www.wikidata.org/entity/Q1343118,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z
5,uri,http://www.wikidata.org/entity/Q24939514,uri,http://www.wikidata.org/entity/Q1048204,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z
6,uri,http://www.wikidata.org/entity/Q3633835,uri,http://www.wikidata.org/entity/Q1343118,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z
7,uri,http://www.wikidata.org/entity/Q3725397,uri,http://www.wikidata.org/entity/Q565594,,,
8,uri,http://www.wikidata.org/entity/Q3747273,uri,http://www.wikidata.org/entity/Q1048204,,,
9,uri,http://www.wikidata.org/entity/Q3878999,uri,http://www.wikidata.org/entity/Q1129774,,,
10,uri,http://www.wikidata.org/entity/Q3943389,uri,http://www.wikidata.org/entity/Q1048204,,,
11,uri,http://www.wikidata.org/entity/Q109686373,uri,http://www.wikidata.org/entity/Q144617,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z
12,uri,http://www.wikidata.org/entity/Q48800487,uri,http://www.wikidata.org/entity/Q650467,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z
13,uri,http://www.wikidata.org/entity/Q3982752,uri,http://www.wikidata.org/entity/Q4015982,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z
14,uri,http://www.wikidata.org/entity/Q3880025,uri,http://www.wikidata.org/entity/Q144617,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z
15,uri,http://www.wikidata.org/entity/Q96240525,uri,http://www.wikidata.org/entity/Q565594,,,
16,uri,http://www.wikidata.org/entity/Q377915,uri,http://www.wikidata.org/entity/Q565594,,,
17,uri,http://www.wikidata.org/entity/Q673267,uri,http://www.wikidata.org/entity/Q144617,,,
