,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q100283020,uri,http://www.wikidata.org/entity/Q1549526
1,uri,http://www.wikidata.org/entity/Q107615518,uri,http://www.wikidata.org/entity/Q4045612
2,uri,http://www.wikidata.org/entity/Q116771375,uri,http://www.wikidata.org/entity/Q4849261
3,uri,http://www.wikidata.org/entity/Q120648432,uri,http://www.wikidata.org/entity/Q246946
4,uri,http://www.wikidata.org/entity/Q1516341,uri,http://www.wikidata.org/entity/Q1144511
5,uri,http://www.wikidata.org/entity/Q4636435,uri,http://www.wikidata.org/entity/Q1626518
6,uri,http://www.wikidata.org/entity/Q7280905,uri,http://www.wikidata.org/entity/Q1626518
7,uri,http://www.wikidata.org/entity/Q7280927,uri,http://www.wikidata.org/entity/Q1626518
8,uri,http://www.wikidata.org/entity/Q7884722,uri,http://www.wikidata.org/entity/Q7180825
9,uri,http://www.wikidata.org/entity/Q20311393,uri,http://www.wikidata.org/entity/Q1626518
10,uri,http://www.wikidata.org/entity/Q22907222,uri,http://www.wikidata.org/entity/Q1626518
