,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country
0,uri,http://www.wikidata.org/entity/Q3416543,en,literal,Radio 2M,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
1,uri,http://www.wikidata.org/entity/Q114853679,en,literal,City Bus Fès,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
2,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q1028
3,uri,http://www.wikidata.org/entity/Q114853749,en,literal,Foughal Bus Kenitra,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
4,uri,http://www.wikidata.org/entity/Q22683621,en,literal,Bricoma,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,wd:Q1028
5,uri,http://www.wikidata.org/entity/Q56300032,en,literal,Afriquia,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,wd:Q1028
6,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q1028
7,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,wd:Q1028
8,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q1041,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q1028
9,uri,http://www.wikidata.org/entity/Q2055692,en,literal,Marjane,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q331814,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6700,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,wd:Q1028
10,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,wd:Q1028
11,uri,http://www.wikidata.org/entity/Q1001887,en,literal,Ifrane,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,ar,literal,إفران,,,,,,,wd:Q1028
12,uri,http://www.wikidata.org/entity/Q2300433,en,literal,Bank of Africa,uri,http://www.wikidata.org/entity/Q1028,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,wd:Q1028
13,uri,http://www.wikidata.org/entity/Q3399778,en,literal,Poste Maroc,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3551,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-08-07T00:00:00Z,wd:Q1028
14,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q79,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q1028
15,uri,http://www.wikidata.org/entity/Q2276749,en,literal,Al Aoula,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,wd:Q1028
16,uri,http://www.wikidata.org/entity/Q114727483,en,literal,City Bus Meknès,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
17,uri,http://www.wikidata.org/entity/Q114853598,en,literal,Vectalia Nador,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
18,uri,http://www.wikidata.org/entity/Q2401659,en,literal,Maghreb Arabe Presse,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3551,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-05-31T00:00:00Z,wd:Q1028
19,uri,http://www.wikidata.org/entity/Q109311658,en,literal,Electroplanet,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
20,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,wd:Q1028
21,uri,http://www.wikidata.org/entity/Q3197636,en,literal,KITEA,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,wd:Q1028
22,uri,http://www.wikidata.org/entity/Q55361226,en,literal,Easydis,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q101625,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,wd:Q1028
23,uri,http://www.wikidata.org/entity/Q98183377,,literal,Q98183377,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,wd:Q1028
24,uri,http://www.wikidata.org/entity/Q18384641,en,literal,Masen,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3551,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-03-18T00:00:00Z,wd:Q1028
25,uri,http://www.wikidata.org/entity/Q866103,en,literal,Royal Air Maroc,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,http://www.wikidata.org/entity/Q28224913,literal,,literal,http://www.wikidata.org/entity/Q1961870,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-06-18T00:00:00Z,wd:Q1028
26,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,wd:Q1028
27,uri,http://www.wikidata.org/entity/Q2947458,en,literal,Chada FM,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
28,uri,http://www.wikidata.org/entity/Q3399778,en,literal,Poste Maroc,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3551,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1892-01-01T00:00:00Z,wd:Q1028
29,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,uri,http://www.wikidata.org/entity/Q881,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,wd:Q1028
30,uri,http://www.wikidata.org/entity/Q120359553,,literal,Q120359553,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
31,uri,http://www.wikidata.org/entity/Q114853700,en,literal,Vitalis Transport,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
32,uri,http://www.wikidata.org/entity/Q114679539,en,literal,ALSA Marrakech,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
33,uri,http://www.wikidata.org/entity/Q111515591,en,literal,Paramegador,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q80985,literal,,,,,,,,,,,wd:Q1028
34,uri,http://www.wikidata.org/entity/Q3139309,en,literal,Holmarcom Group,uri,http://www.wikidata.org/entity/Q1028,literal,"http://www.wikidata.org/entity/Q1757562, http://www.wikidata.org/entity/Q867147, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q684740, http://www.wikidata.org/entity/Q396622",literal,http://www.wikidata.org/entity/Q3318585,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,wd:Q1028
35,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q114,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q1028
36,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q948,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q1028
37,uri,http://www.wikidata.org/entity/Q3416731,en,literal,Radio Mars,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
38,uri,http://www.wikidata.org/entity/Q115375908,en,literal,Bigdil,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
39,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,uri,http://www.wikidata.org/entity/Q117,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,wd:Q1028
40,uri,http://www.wikidata.org/entity/Q3138587,en,literal,Hit Radio,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,wd:Q1028
41,uri,http://www.wikidata.org/entity/Q114707454,en,literal,ALSA Agadir,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
42,uri,http://www.wikidata.org/entity/Q114666905,en,literal,Alsa Tanger,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
43,uri,http://www.wikidata.org/entity/Q110028558,en,literal,Petrom,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,wd:Q1028
44,uri,http://www.wikidata.org/entity/Q758052,en,literal,Attijariwafa Bank,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1904-01-01T00:00:00Z,wd:Q1028
45,uri,http://www.wikidata.org/entity/Q1001887,en,literal,Ifrane,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,fr,literal,Ifrane,,,,,,,wd:Q1028
46,uri,http://www.wikidata.org/entity/Q56240889,en,literal,Hmizate.ma,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q56611700,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,wd:Q1028
47,uri,http://www.wikidata.org/entity/Q3304022,en,literal,Medina FM,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
48,uri,http://www.wikidata.org/entity/Q114853646,en,literal,Vectalia Safi,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
49,uri,http://www.wikidata.org/entity/Q2868676,en,literal,Radio Aswat,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
50,uri,http://www.wikidata.org/entity/Q2940759,,literal,Q2940759,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,wd:Q1028
51,uri,http://www.wikidata.org/entity/Q2823349,en,literal,Marjane Market,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q331814,literal,,literal,,literal,http://www.wikidata.org/entity/Q7903,literal,,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,wd:Q1028
52,uri,http://www.wikidata.org/entity/Q110741266,en,literal,M24 TV,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
53,uri,http://www.wikidata.org/entity/Q114771384,en,literal,Casabus,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q2516512,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q1028
54,uri,http://www.wikidata.org/entity/Q328198,en,literal,Bank Al-Maghrib,uri,http://www.wikidata.org/entity/Q1028,literal,,literal,,literal,http://www.wikidata.org/entity/Q11956778,literal,http://www.wikidata.org/entity/Q92067896,literal,,ar,literal,بنك المغرب,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,wd:Q1028
