,business.type,business.value,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,businessLabel.xml:lang,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q117599638,literal,Q117599638,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,,,,,,,,,,,,,,,,,,,,wd:Q142
1,uri,http://www.wikidata.org/entity/Q2190366,literal,Éditions Albin Michel,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165919,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1900-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
2,uri,http://www.wikidata.org/entity/Q105324937,literal,Dinh Van,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165705,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
3,uri,http://www.wikidata.org/entity/Q3394227,literal,Polidor,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
4,uri,http://www.wikidata.org/entity/Q62871250,literal,Tchip,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q57261067,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
5,uri,http://www.wikidata.org/entity/Q109480484,literal,Champagne Quatresols-Gauthier,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112164975,literal,,literal,,literal,http://www.wikidata.org/entity/Q615159,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-04-26T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
6,uri,http://www.wikidata.org/entity/Q26722834,literal,France Info,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q7019566,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
7,uri,http://www.wikidata.org/entity/Q23979091,literal,French Bee,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165870,literal,,literal,,literal,http://www.wikidata.org/entity/Q470826,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
8,uri,http://www.wikidata.org/entity/Q108552423,literal,Kalicube,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q1254596, http://www.wikidata.org/entity/Q39809",literal,http://www.wikidata.org/entity/Q23416738,literal,,literal,http://www.wikidata.org/entity/Q679916,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,fr,literal,Kalicube SAS,,,,,,,,,,,,,,,,wd:Q142
9,uri,http://www.wikidata.org/entity/Q52115738,literal,Mi-Clos Studio,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q687929,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
10,uri,http://www.wikidata.org/entity/Q97439162,literal,Stellantis,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q112166038, http://www.wikidata.org/entity/Q6129866, http://www.wikidata.org/entity/Q190117",literal,http://www.wikidata.org/entity/Q2939466,literal,http://www.wikidata.org/entity/Q284011,literal,http://www.wikidata.org/entity/Q727,literal,http://www.wikidata.org/entity/Q648828,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-16T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,258275,http://www.w3.org/2001/XMLSchema#decimal,literal,18625000000,http://www.w3.org/2001/XMLSchema#decimal,literal,72400000000,http://www.w3.org/2001/XMLSchema#decimal,literal,186200000000,,,,wd:Q142
11,uri,http://www.wikidata.org/entity/Q372375,literal,Sud Radio,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
12,uri,http://www.wikidata.org/entity/Q105395978,literal,Easycash,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166087,literal,,literal,,literal,http://www.wikidata.org/entity/Q205551,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
13,uri,http://www.wikidata.org/entity/Q22047689,literal,Q22047689,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,,wd:Q142
14,uri,http://www.wikidata.org/entity/Q120870008,literal,Mother Production,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165937,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-31T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
15,uri,http://www.wikidata.org/entity/Q779722,literal,Crédit Lyonnais,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165989, http://www.wikidata.org/entity/Q29584334",literal,,literal,,literal,http://www.wikidata.org/entity/Q456,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1863-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
16,uri,http://www.wikidata.org/entity/Q948531,literal,Celine,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165707, http://www.wikidata.org/entity/Q12684",literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
17,uri,http://www.wikidata.org/entity/Q12713563,literal,Au Pied de Cochon,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
18,uri,http://www.wikidata.org/entity/Q31192079,literal,La Churascaïa,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
19,uri,http://www.wikidata.org/entity/Q121540232,literal,zenpark,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
20,uri,http://www.wikidata.org/entity/Q1653380,literal,BlaBlaBus,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165849,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
21,uri,http://www.wikidata.org/entity/Q64224452,literal,Q64224452,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q647,literal,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
22,uri,http://www.wikidata.org/entity/Q160054,literal,AXA,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165993, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q43183",literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,http://www.wikidata.org/entity/Q648828,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,110477,http://www.w3.org/2001/XMLSchema#decimal,literal,6675000000,,,,,,,,,,wd:Q142
23,uri,http://www.wikidata.org/entity/Q64824182,literal,Positive Planet,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q4290,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
24,uri,http://www.wikidata.org/entity/Q5427604,literal,FABERNOVEL,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,80,,,,,,,,,,,,,wd:Q142
25,uri,http://www.wikidata.org/entity/Q28484549,literal,Brevo,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q1155133,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
26,uri,http://www.wikidata.org/entity/Q3083542,literal,CNews,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q11030,literal,,literal,,literal,http://www.wikidata.org/entity/Q172455,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-11-04T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
27,uri,http://www.wikidata.org/entity/Q116690119,literal,Apollo CGR Cinémas,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165943,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-09-29T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
28,uri,http://www.wikidata.org/entity/Q3080633,literal,France Bleu Armorique,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
29,uri,http://www.wikidata.org/entity/Q119701480,literal,Jawg Maps,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q161884,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
30,uri,http://www.wikidata.org/entity/Q117444885,literal,Les Oiseaux rares,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
31,uri,http://www.wikidata.org/entity/Q87071060,literal,RED ƎYE,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165938, http://www.wikidata.org/entity/Q1415395",literal,,literal,,literal,http://www.wikidata.org/entity/Q3581,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-03-04T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
32,uri,http://www.wikidata.org/entity/Q830416,literal,Delsey,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165707,literal,,literal,,literal,http://www.wikidata.org/entity/Q242497,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1911-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
33,uri,http://www.wikidata.org/entity/Q23402,literal,Musée d'Orsay,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,"http://www.wikidata.org/entity/Q433981, http://www.wikidata.org/entity/Q2743768, http://www.wikidata.org/entity/Q3121665, http://www.wikidata.org/entity/Q3479410, http://www.wikidata.org/entity/Q14626534, http://www.wikidata.org/entity/Q33104453",literal,http://www.wikidata.org/entity/Q90,literal,http://www.wikidata.org/entity/Q13380294,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,fr,literal,Musée d’Orsay,,,,,,,,,,,,,,,,wd:Q142
34,uri,http://www.wikidata.org/entity/Q581438,literal,Bouygues Telecom,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165961, http://www.wikidata.org/entity/Q56598901",literal,,literal,,literal,http://www.wikidata.org/entity/Q135265,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,9200,,,,,,,,,,,,,wd:Q142
