,business.type,business.value,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,businessLabel.xml:lang,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q10389837,literal,Q10389837,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q43463,literal,,,,,,,,,,,,,,,,,,wd:Q155
1,uri,http://www.wikidata.org/entity/Q10365725,literal,Rádio Cultura Brasil,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,,,,,,,,,,,,,,,,wd:Q155
2,uri,http://www.wikidata.org/entity/Q7894387,literal,Methodist University of São Paulo,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q184403,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
3,uri,http://www.wikidata.org/entity/Q18465440,literal,Q18465440,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8678,literal,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-10-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
4,uri,http://www.wikidata.org/entity/Q25419321,literal,Institute of Animal Science and Pastures,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1905-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
5,uri,http://www.wikidata.org/entity/Q280247,literal,Fluminense Federal University,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,pt,literal,Universidade Federal Fluminense,,,,,,,,,,wd:Q155
6,uri,http://www.wikidata.org/entity/Q30934859,literal,Nuuvem,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
7,uri,http://www.wikidata.org/entity/Q10376934,literal,TV Bandeirantes Rio Grande do Sul,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q40269,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-10-10T00:00:00Z,,,,,,,,,,,,,wd:Q155
8,uri,http://www.wikidata.org/entity/Q10376886,literal,TV Anhanguera Palmas,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q178993,literal,,en,,,,,,,,,,,,,,,,wd:Q155
9,uri,http://www.wikidata.org/entity/Q10376930,literal,TV Bandeirantes Amazonas,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q40236,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-03-13T00:00:00Z,,,,,,,,,,,,,wd:Q155
