,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q2931059,en,literal,CBWFT-DT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-04-24T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2135,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
1,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,,,,,,,,,,,,,,,,wd:Q16
2,uri,http://www.wikidata.org/entity/Q3579582,,literal,Q3579582,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q141924,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
3,uri,http://www.wikidata.org/entity/Q107631647,en,literal,Mighty Yell,,,,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
4,uri,http://www.wikidata.org/entity/Q115352229,,literal,Q115352229,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
5,uri,http://www.wikidata.org/entity/Q4922077,en,literal,The Coalition,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-02-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q24639,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
6,uri,http://www.wikidata.org/entity/Q2931063,en,literal,CBXFT-DT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2096,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
7,uri,http://www.wikidata.org/entity/Q2832297,en,literal,ALDO Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
8,uri,http://www.wikidata.org/entity/Q391028,en,literal,University of British Columbia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1908-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q24639,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
9,uri,http://www.wikidata.org/entity/Q3564882,en,literal,W Network,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
10,uri,http://www.wikidata.org/entity/Q1023642,en,literal,CHMX-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
11,uri,http://www.wikidata.org/entity/Q2931479,en,literal,CHYC-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
12,uri,http://www.wikidata.org/entity/Q5012588,en,literal,CKVI-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
13,uri,http://www.wikidata.org/entity/Q5012564,en,literal,CKTB,http://www.w3.org/2001/XMLSchema#dateTime,literal,1930-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
14,uri,http://www.wikidata.org/entity/Q201492,en,literal,McGill University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1821-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
15,uri,http://www.wikidata.org/entity/Q72984664,en,literal,Little Burgundy,,,,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
16,uri,http://www.wikidata.org/entity/Q5010654,en,literal,CFJB-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
17,uri,http://www.wikidata.org/entity/Q5012390,en,literal,CKHY-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
18,uri,http://www.wikidata.org/entity/Q2931024,en,literal,CBFT-DT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-09-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
19,uri,http://www.wikidata.org/entity/Q2931607,en,literal,CJOH-DT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-03-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1930,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
20,uri,http://www.wikidata.org/entity/Q5010908,en,literal,CFXW-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
21,uri,http://www.wikidata.org/entity/Q3099685,en,literal,Énergir,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
22,uri,http://www.wikidata.org/entity/Q5012287,en,literal,CKAP-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
23,uri,http://www.wikidata.org/entity/Q6779125,en,literal,Mary Brown's,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q7860960,literal,,literal,,literal,http://www.wikidata.org/entity/Q44016,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,800,,,,,,,,,,,,,,,,wd:Q16
24,uri,http://www.wikidata.org/entity/Q7798946,en,literal,Thunder Bay Telephone,http://www.w3.org/2001/XMLSchema#dateTime,literal,1902-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q34116,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,420,,,,,,,,,,,,,,,,wd:Q16
25,uri,http://www.wikidata.org/entity/Q3579487,,literal,Q3579487,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2145,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
26,uri,http://www.wikidata.org/entity/Q775346,en,literal,Beenox,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q2145,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
27,uri,http://www.wikidata.org/entity/Q65068121,en,literal,Tuque Games,,,,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
28,uri,http://www.wikidata.org/entity/Q65092103,,literal,Q65092103,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
29,uri,http://www.wikidata.org/entity/Q5011944,en,literal,CIUX-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
30,uri,http://www.wikidata.org/entity/Q66124030,,literal,Q66124030,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
31,uri,http://www.wikidata.org/entity/Q5011021,en,literal,CHAB,http://www.w3.org/2001/XMLSchema#dateTime,literal,1922-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
32,uri,http://www.wikidata.org/entity/Q5012254,en,literal,CJYQ,,,,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
33,uri,http://www.wikidata.org/entity/Q16985503,en,literal,ICE Wireless,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-09-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q44016,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
34,uri,http://www.wikidata.org/entity/Q117005444,en,literal,Rosedale Manor Bed and Breakfast Boutique,http://www.w3.org/2001/XMLSchema#dateTime,literal,1893-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
35,uri,http://www.wikidata.org/entity/Q111968623,en,literal,L'instant même,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q139398,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
36,uri,http://www.wikidata.org/entity/Q104844785,en,literal,49th Parallel Coffee Roasters,,,,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
37,uri,http://www.wikidata.org/entity/Q5012616,en,literal,CKXA-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1928-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
38,uri,http://www.wikidata.org/entity/Q75728378,en,literal,StockNSell,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,en-ca,literal,StockNSell Inc.,,,,,,,,,,,,,wd:Q16
