,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q124434106,en,literal,Voil,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q234087,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
1,uri,http://www.wikidata.org/entity/Q11300826,en,literal,GRAPE COMPANY,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
2,uri,http://www.wikidata.org/entity/Q1154833,en,literal,81 Produce,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-02-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q193638,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
3,uri,http://www.wikidata.org/entity/Q734663,en,literal,TV Tokyo,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-04-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q23666199,literal,,ja,literal,日本科学技術振興財団テレビ事業部,,,,,,,,,,,,,,,,wd:Q17
4,uri,http://www.wikidata.org/entity/Q10846977,en,literal,Dynam Japan Holdings,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
5,uri,http://www.wikidata.org/entity/Q5153134,en,literal,Commmons,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
6,uri,http://www.wikidata.org/entity/Q11191283,en,literal,Bishop,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
7,uri,http://www.wikidata.org/entity/Q30850,en,literal,Nagoya Railroad,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q10917805,literal,,ja,literal,名古屋鉄道株式会社,,,,,,,,,,,,,,,,wd:Q17
8,uri,http://www.wikidata.org/entity/Q851966,en,literal,Front Wing,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q17,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
9,uri,http://www.wikidata.org/entity/Q11321154,en,literal,Tokiwa,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q133924,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
