,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q106077682,en,literal,Spree-Waldhotel,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
1,uri,http://www.wikidata.org/entity/Q28777575,en,literal,Logo,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
2,uri,http://www.wikidata.org/entity/Q1415523,en,literal,Olymp Bezner,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q7067,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
3,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,uri,http://www.wikidata.org/entity/Q27,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q108936810, http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625",literal,,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q874430",http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,,,,,,,,,,,,,,,,wd:Q183
4,uri,http://www.wikidata.org/entity/Q318128,en,literal,AbeBooks,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q1718,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q183
5,uri,http://www.wikidata.org/entity/Q111119165,en,literal,Black Forest Hostel,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
6,uri,http://www.wikidata.org/entity/Q54974320,en,literal,Blinkist,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q75,literal,,literal,,literal,http://www.wikidata.org/entity/Q64,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-08-21T00:00:00Z,,,,de,literal,Blinks Lab GmBh,,,,,,,,,,,,,wd:Q183
7,uri,http://www.wikidata.org/entity/Q109558465,en,literal,1a autoservice,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q183
8,uri,http://www.wikidata.org/entity/Q701338,en,literal,C&A,uri,http://www.wikidata.org/entity/Q31,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q318418, http://www.wikidata.org/entity/Q1718",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1841-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,40000,,,,,,,,,,,,,,,,wd:Q183
9,uri,http://www.wikidata.org/entity/Q112161701,en,literal,von Reyher (Medien Agency),uri,http://www.wikidata.org/entity/Q183,literal,"http://www.wikidata.org/entity/Q56611639, http://www.wikidata.org/entity/Q1193236, http://www.wikidata.org/entity/Q846132, http://www.wikidata.org/entity/Q190637, http://www.wikidata.org/entity/Q180711, http://www.wikidata.org/entity/Q39809",literal,http://www.wikidata.org/entity/Q99570403,literal,,literal,http://www.wikidata.org/entity/Q2833,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-05-25T00:00:00Z,,,,de,literal,Carlo von Reyher Media,,,,,,,,,,,,,wd:Q183
