,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q7000460,en,literal,Vy Buss,no,literal,Vy Buss AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-02-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q178512,literal,"http://www.wikidata.org/entity/Q95744445, http://www.wikidata.org/entity/Q95744193",literal,http://www.wikidata.org/entity/Q11971696,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
1,uri,http://www.wikidata.org/entity/Q511031,en,literal,Norsk Hydro,nb,literal,Norsk Hydro ASA,http://www.w3.org/2001/XMLSchema#dateTime,literal,1905-12-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,"http://www.wikidata.org/entity/Q4063722, http://www.wikidata.org/entity/Q2151621",literal,http://www.wikidata.org/entity/Q62114985,literal,http://www.wikidata.org/entity/Q5208424,literal,http://www.wikidata.org/entity/Q585,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,31000,http://www.w3.org/2001/XMLSchema#decimal,literal,13930000000,,,,,,,wd:Q20
2,uri,http://www.wikidata.org/entity/Q1298438,en,literal,Egon,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q30915455,literal,,literal,,literal,http://www.wikidata.org/entity/Q25804,literal,,,,,,,,,,,,,,wd:Q20
3,uri,http://www.wikidata.org/entity/Q47507312,en,literal,Apollon Records,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-07-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q26793,literal,,,,,,,,,,,,,,wd:Q20
4,uri,http://www.wikidata.org/entity/Q110677921,en,literal,Synergy SKY,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1375280, http://www.wikidata.org/entity/Q585",literal,,,,,,,,,,,,,,wd:Q20
5,uri,http://www.wikidata.org/entity/Q110259901,en,literal,Follestad,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1923-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q607081,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
6,uri,http://www.wikidata.org/entity/Q7915546,en,literal,Varden,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1874-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2272,literal,,,,,,,,,,,,,,wd:Q20
7,uri,http://www.wikidata.org/entity/Q19392885,,literal,Q19392885,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
8,uri,http://www.wikidata.org/entity/Q105690179,en,literal,Simula Metropolitan Center for Digital Engineering,nb,literal,Simula Metropolitan Center for Digital Engineering AS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-11-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q31855,literal,http://www.wikidata.org/entity/Q17278034,literal,http://www.wikidata.org/entity/Q11256023,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,wd:Q20
9,uri,http://www.wikidata.org/entity/Q19377514,,literal,Q19377514,,,,,,,uri,http://www.wikidata.org/entity/Q20,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q20
