,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q122335970,en,literal,Baltic Content Media,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-05-24T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
1,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q28,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
2,uri,http://www.wikidata.org/entity/Q124653120,,literal,Q124653120,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q520405,literal,,,,,,,,,,,,,,wd:Q211
3,uri,http://www.wikidata.org/entity/Q110270591,en,literal,Beverina Productions,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-08-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q10302058, http://www.wikidata.org/entity/Q746359",literal,,literal,,literal,"http://www.wikidata.org/entity/Q252256, http://www.wikidata.org/entity/Q1773",literal,,,,,,,,,,,,,,wd:Q211
4,uri,http://www.wikidata.org/entity/Q123197435,,literal,Q123197435,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q1415356,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
5,uri,http://www.wikidata.org/entity/Q57583051,en,literal,Sentor Farm aptiekas,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-10-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q29585602,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
6,uri,http://www.wikidata.org/entity/Q300924,en,literal,airBaltic,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-02-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q2055808,literal,,literal,,literal,http://www.wikidata.org/entity/Q110029686,literal,,,,,,,,,,,,,,wd:Q211
7,uri,http://www.wikidata.org/entity/Q15833214,en,literal,Maxima Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-11-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q29585561, http://www.wikidata.org/entity/Q18043413, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,7427,mul,literal,MAXIMA LATVIJA SIA,http://www.w3.org/2001/XMLSchema#decimal,literal,21900000,,,,wd:Q211
8,uri,http://www.wikidata.org/entity/Q665537,en,literal,RBS TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-12-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q289,literal,,literal,,literal,http://www.wikidata.org/entity/Q40269,literal,,,,,,,,,,,,,,wd:Q211
9,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
10,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,ru,literal,Латвийский государственный университет им. П. Стучки,,,,,,,wd:Q211
11,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q191,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
12,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q37,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
13,uri,http://www.wikidata.org/entity/Q4036833,en,literal,Cēsu Alus,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-09-27T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q29585040, http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q869095, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q107582,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,206,,,,,,,,,,wd:Q211
14,uri,http://www.wikidata.org/entity/Q110979381,en,literal,Depozīta punkts,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-06-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
15,uri,http://www.wikidata.org/entity/Q42588527,en,literal,Streetout Games,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
16,uri,http://www.wikidata.org/entity/Q27055921,en,literal,Circle K Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-04-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q29584709,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
