,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q28,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q214
1,uri,http://www.wikidata.org/entity/Q393549,en,literal,Železničná spoločnosť Cargo Slovakia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q214,literal,http://www.wikidata.org/entity/Q2234623,literal,,literal,,literal,http://www.wikidata.org/entity/Q1780,literal,,sk,literal,"Železničná spoločnosť Cargo Slovakia, a.s.",,,,,,,,,,wd:Q214
2,uri,http://www.wikidata.org/entity/Q108757006,en,literal,Yeme,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q214,literal,http://www.wikidata.org/entity/Q15825471,literal,,literal,,literal,http://www.wikidata.org/entity/Q1780,literal,,,,,,,,,,,,,,wd:Q214
3,uri,http://www.wikidata.org/entity/Q100727542,,literal,Q100727542,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q214,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q214
4,uri,http://www.wikidata.org/entity/Q963904,en,literal,University of Prešov,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q214,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q26119,literal,,,,,,,,,,,,,,wd:Q214
5,uri,http://www.wikidata.org/entity/Q108369059,en,literal,PLUS LEKÁREŇ,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-03-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q214,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q788753,literal,,sk,literal,UNIPHARMA - 1. slovenská lekárnická akciová spoločnosť,,,,,,,,,,wd:Q214
6,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q214
7,uri,http://www.wikidata.org/entity/Q15980348,en,literal,Ševt,,,,uri,http://www.wikidata.org/entity/Q214,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1780,literal,,,,,,,,,,,,,,wd:Q214
8,uri,http://www.wikidata.org/entity/Q98456772,en,literal,Tesco Express,,,,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q214
9,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q191,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q214
