,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q17627752,en,literal,ProCredit Bank (Romania),http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q19660,literal,,,,,,,,,,,wd:Q218
1,uri,http://www.wikidata.org/entity/Q7363432,en,literal,România TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-10-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q19660,literal,,,,,,,,,,,wd:Q218
2,uri,http://www.wikidata.org/entity/Q121080834,en,literal,Clinica Sante,,,,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q201404,literal,,ro,literal,CLINICA SANTE ROMÂNIA S.R.L.,,,,,,,wd:Q218
3,uri,http://www.wikidata.org/entity/Q60802524,,literal,Q60802524,,,,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q179585,literal,,,,,,,,,,,wd:Q218
4,uri,http://www.wikidata.org/entity/Q117322827,en,literal,Dan Air,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q19660,literal,,ro,literal,DAN AIR (AOC) S.R.L,,,,,,,wd:Q218
5,uri,http://www.wikidata.org/entity/Q54307207,en,literal,PVP Studio,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q168057,literal,,,,,,,,,,,wd:Q218
6,uri,http://www.wikidata.org/entity/Q6973708,en,literal,National Institute of Statistics,,,,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q19660,literal,"http://www.wikidata.org/entity/Q33102669, http://www.wikidata.org/entity/Q55574446",en,literal,National Institute of Statistics,,,,,,,wd:Q218
7,uri,http://www.wikidata.org/entity/Q2280353,en,literal,Societatea de Transport București,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q19660,literal,,,,,,,,,,,wd:Q218
8,uri,http://www.wikidata.org/entity/Q5249762,en,literal,Dedeman,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q218,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q10737004,literal,,mul,literal,DEDEMAN SRL,http://www.w3.org/2001/XMLSchema#decimal,literal,10413,http://www.w3.org/2001/XMLSchema#decimal,literal,217200000,wd:Q218
9,uri,http://www.wikidata.org/entity/Q1550912,en,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,"http://www.wikidata.org/entity/Q2729047, http://www.wikidata.org/entity/Q936518, http://www.wikidata.org/entity/Q508378, http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q5268834, http://www.wikidata.org/entity/Q3510521",literal,"http://www.wikidata.org/entity/Q26637897, http://www.wikidata.org/entity/Q26638506",literal,http://www.wikidata.org/entity/Q26639858,literal,http://www.wikidata.org/entity/Q910410,literal,,es,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#decimal,literal,2792,http://www.w3.org/2001/XMLSchema#decimal,literal,6605351.15,wd:Q218
