,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q123298436,en,literal,3labels.com,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q83405,literal,,literal,,literal,,literal,,en,literal,3labels.com,,,,,,,,,,,,,wd:Q219
1,uri,http://www.wikidata.org/entity/Q124151518,en,literal,Ciela,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
2,uri,http://www.wikidata.org/entity/Q7692633,en,literal,Technomarket,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,wd:Q219
3,uri,http://www.wikidata.org/entity/Q106094333,en,literal,"Butcher Shop Dimqt - ""Cooperative Market""",uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,,,,wd:Q219
4,uri,http://www.wikidata.org/entity/Q841581,en,literal,Sofia University,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1888-10-01T00:00:00Z,,,,,,,,,,wd:Q219
5,uri,http://www.wikidata.org/entity/Q114053568,en,literal,HitMax,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
6,uri,http://www.wikidata.org/entity/Q7553668,en,literal,Sofia Urban Mobility Center,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-02-02T00:00:00Z,,,,,,,,,,wd:Q219
7,uri,http://www.wikidata.org/entity/Q118720187,,literal,Q118720187,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,,,,wd:Q219
8,uri,http://www.wikidata.org/entity/Q106093074,en,literal,Culinary Shop Dimqt,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,,,,wd:Q219
9,uri,http://www.wikidata.org/entity/Q115656899,en,literal,OZK,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
