,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,wd:Q232
1,uri,http://www.wikidata.org/entity/Q4289246,en,literal,Mektep,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q15180,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
2,uri,http://www.wikidata.org/entity/Q2649626,en,literal,Almatyelektrotrans,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,,,,,,,wd:Q232
3,uri,http://www.wikidata.org/entity/Q15779281,en,literal,Qazsport,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
4,uri,http://www.wikidata.org/entity/Q42800905,en,literal,Astana Banki,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
5,uri,http://www.wikidata.org/entity/Q1417227,en,literal,KazMunayGas,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-02-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,89909,http://www.w3.org/2001/XMLSchema#decimal,literal,360100000000,,,,,,,,,,wd:Q232
6,uri,http://www.wikidata.org/entity/Q4208363,en,literal,Kazinform,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,,,,wd:Q232
7,uri,http://www.wikidata.org/entity/Q1168179,en,literal,Kazkommertsbank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,,,,,,,wd:Q232
8,uri,http://www.wikidata.org/entity/Q98046055,en,literal,NUR.KZ,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-03-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,"http://www.wikidata.org/entity/Q38926, http://www.wikidata.org/entity/Q11661",literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,,,,,,,wd:Q232
9,uri,http://www.wikidata.org/entity/Q18608194,en,literal,MEGA,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-10-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
10,uri,http://www.wikidata.org/entity/Q71027149,en,literal,INTERTOP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q212,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1899,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1600,,,,,,,,,,,,,wd:Q232
