,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,country
0,uri,http://www.wikidata.org/entity/Q109930540,en,literal,Shukrona Media Production,uri,http://www.wikidata.org/entity/Q265,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q269,literal,,,,,wd:Q265
1,uri,http://www.wikidata.org/entity/Q105438574,en,literal,Kremlingames,uri,http://www.wikidata.org/entity/Q265,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,wd:Q265
2,uri,http://www.wikidata.org/entity/Q106690129,en,literal,Sevimli TV,uri,http://www.wikidata.org/entity/Q265,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q269,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-04-01T00:00:00Z,wd:Q265
3,uri,http://www.wikidata.org/entity/Q105438574,en,literal,Kremlingames,uri,http://www.wikidata.org/entity/Q7779,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,wd:Q265
4,uri,http://www.wikidata.org/entity/Q18746447,en,literal,Agrobank,uri,http://www.wikidata.org/entity/Q265,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2637617,literal,,,,,wd:Q265
5,uri,http://www.wikidata.org/entity/Q18635302,en,literal,UMS,uri,http://www.wikidata.org/entity/Q265,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q269,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,wd:Q265
6,uri,http://www.wikidata.org/entity/Q110120894,en,literal,Korzinka,uri,http://www.wikidata.org/entity/Q265,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q269,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,wd:Q265
7,uri,http://www.wikidata.org/entity/Q105227651,en,literal,UzPost,uri,http://www.wikidata.org/entity/Q265,literal,http://www.wikidata.org/entity/Q49845,literal,,literal,,literal,,literal,,,,,wd:Q265
8,uri,http://www.wikidata.org/entity/Q117454768,en,literal,Murad Buildings,uri,http://www.wikidata.org/entity/Q265,literal,http://www.wikidata.org/entity/Q695829,literal,,literal,,literal,http://www.wikidata.org/entity/Q269,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,wd:Q265
9,uri,http://www.wikidata.org/entity/Q117454768,en,literal,Murad Buildings,uri,http://www.wikidata.org/entity/Q269,literal,http://www.wikidata.org/entity/Q695829,literal,,literal,,literal,http://www.wikidata.org/entity/Q269,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,wd:Q265
10,uri,http://www.wikidata.org/entity/Q30889748,en,literal,Oriat FM,uri,http://www.wikidata.org/entity/Q265,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-05T00:00:00Z,wd:Q265
11,uri,http://www.wikidata.org/entity/Q105438574,en,literal,Kremlingames,uri,http://www.wikidata.org/entity/Q159,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,wd:Q265
12,uri,http://www.wikidata.org/entity/Q7904565,en,literal,Uzbekistan National News Agency,uri,http://www.wikidata.org/entity/Q265,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q269,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,wd:Q265
