,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q11815580,en,literal,Pepco,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q268,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
1,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q6571804",http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,,,,,,,wd:Q36
2,uri,http://www.wikidata.org/entity/Q9253957,en,literal,Energa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-12-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q472093,literal,,literal,,literal,http://www.wikidata.org/entity/Q1792,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,9456,http://www.w3.org/2001/XMLSchema#decimal,literal,173000000,,,,pl,literal,ENERGA SPÓŁKA AKCYJNA,,,,,,,wd:Q36
3,uri,http://www.wikidata.org/entity/Q1550912,en,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q5268834, http://www.wikidata.org/entity/Q3510521, http://www.wikidata.org/entity/Q2729047, http://www.wikidata.org/entity/Q936518, http://www.wikidata.org/entity/Q508378",literal,"http://www.wikidata.org/entity/Q26637897, http://www.wikidata.org/entity/Q26638506",literal,http://www.wikidata.org/entity/Q26639858,literal,http://www.wikidata.org/entity/Q910410,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2792,http://www.w3.org/2001/XMLSchema#decimal,literal,6605351.15,,,,es,literal,GMV Innovating Solutions,,,,,,,wd:Q36
4,uri,http://www.wikidata.org/entity/Q117037393,,literal,Q117037393,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1799,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
5,uri,http://www.wikidata.org/entity/Q1478920,en,literal,Radio Maryja,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q872,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
6,uri,http://www.wikidata.org/entity/Q1550912,en,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q5268834, http://www.wikidata.org/entity/Q3510521, http://www.wikidata.org/entity/Q2729047, http://www.wikidata.org/entity/Q936518, http://www.wikidata.org/entity/Q508378",literal,"http://www.wikidata.org/entity/Q26637897, http://www.wikidata.org/entity/Q26638506",literal,http://www.wikidata.org/entity/Q26639858,literal,http://www.wikidata.org/entity/Q910410,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2792,http://www.w3.org/2001/XMLSchema#decimal,literal,6605351.15,,,,es,literal,GMV Innovating Solutions,,,,,,,wd:Q36
7,uri,http://www.wikidata.org/entity/Q815265,en,literal,Radio Racyja,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
8,uri,http://www.wikidata.org/entity/Q11786409,en,literal,PSB Mrówka,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
9,uri,http://www.wikidata.org/entity/Q122941607,en,literal,Max Elektro,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q598,literal,,,,,,,,,,,pl,literal,GT Group Tomaszek sp. z o.o.,,,,,,,wd:Q36
10,uri,http://www.wikidata.org/entity/Q7865474,en,literal,UPC Poland,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q184452,literal,,literal,,literal,"http://www.wikidata.org/entity/Q28676342, http://www.wikidata.org/entity/Q270",literal,,,,,,,,,,,pl,literal,UPC Polska Sp. z o.o.,,,,,,,wd:Q36
11,uri,http://www.wikidata.org/entity/Q1026989,en,literal,Polsat News,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q11030,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
12,uri,http://www.wikidata.org/entity/Q115568785,en,literal,DHL POP BOX,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
13,uri,http://www.wikidata.org/entity/Q806642,en,literal,Bank Polska Kasa Opieki,http://www.w3.org/2001/XMLSchema#dateTime,literal,1929-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q62024749,literal,,,,,,,,,,,pl,literal,Bank Polska Kasa Opieki Spółka Akcyjna,,,,,,,wd:Q36
14,uri,http://www.wikidata.org/entity/Q53430,en,literal,MPK Poznań Sp. z o.o.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q268,literal,,,,,,,,,,,pl,literal,Miejskie Przedsiębiorstwo Komunikacyjne w Poznaniu Spółka z o.o.,,,,,,,wd:Q36
15,uri,http://www.wikidata.org/entity/Q9251859,en,literal,Eko,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
16,uri,http://www.wikidata.org/entity/Q108599511,en,literal,Livio,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
17,uri,http://www.wikidata.org/entity/Q86681898,en,literal,Pijalnia Wódki i Piwa,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q36
18,uri,http://www.wikidata.org/entity/Q11974290,en,literal,"Hard Rock Café, Warsaw",http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-02-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q918151,,,,,,,,,,,,,,,,,,,wd:Q36
19,uri,http://www.wikidata.org/entity/Q11694239,en,literal,Dino,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,http://www.wikidata.org/entity/Q601401,literal,,literal,,literal,http://www.wikidata.org/entity/Q984538,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,16530,http://www.w3.org/2001/XMLSchema#decimal,literal,1132087000,,,,mul,literal,DINO POLSKA S.A.,,,,,,,wd:Q36
