,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
1,uri,http://www.wikidata.org/entity/Q108822755,en,literal,Itabus,,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q220,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
2,uri,http://www.wikidata.org/entity/Q18417097,en,literal,Cimolai,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q385378, http://www.wikidata.org/entity/Q77590",literal,,literal,,literal,http://www.wikidata.org/entity/Q53182,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
3,uri,http://www.wikidata.org/entity/Q122910462,en,literal,Macrotel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8645,literal,,it,literal,Macrotel Italia Srl,,,,,,,,,,,,,,,,wd:Q38
4,uri,http://www.wikidata.org/entity/Q116729926,en,literal,Legend Club,,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
5,uri,http://www.wikidata.org/entity/Q4004687,en,literal,Unieuro,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q331814,literal,http://www.wikidata.org/entity/Q43185802,literal,,literal,http://www.wikidata.org/entity/Q13367,literal,,it,literal,Unieuro S.p.A.,,,,,,,,,,,,,,,,wd:Q38
6,uri,http://www.wikidata.org/entity/Q113406502,en,literal,Tiscali Italia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q3654779,literal,,it,literal,Tiscali Italia S.p.A.,,,,,,,,,,,,,,,,wd:Q38
7,uri,http://www.wikidata.org/entity/Q86925389,en,literal,Cave Mont Blanc de Morgex et la Salle,,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
8,uri,http://www.wikidata.org/entity/Q83823,en,literal,Ferrovie dello Stato Italiane,http://www.w3.org/2001/XMLSchema#dateTime,literal,1905-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q3565868,literal,http://www.wikidata.org/entity/Q28835137,literal,,literal,http://www.wikidata.org/entity/Q220,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
9,uri,http://www.wikidata.org/entity/Q110960763,en,literal,Last Minute Tour,,,,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q9323634,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
10,uri,http://www.wikidata.org/entity/Q3605772,en,literal,Salani,http://www.w3.org/2001/XMLSchema#dateTime,literal,1862-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q113365756,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
11,uri,http://www.wikidata.org/entity/Q122751549,en,literal,Storm Reply,,,,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q1149029, http://www.wikidata.org/entity/Q11661",literal,,literal,,literal,http://www.wikidata.org/entity/Q495,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
12,uri,http://www.wikidata.org/entity/Q100796552,en,literal,Darril Arts,,,,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
13,uri,http://www.wikidata.org/entity/Q1432285,en,literal,Parmalat,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q100779,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
14,uri,http://www.wikidata.org/entity/Q2313845,en,literal,Persol,http://www.w3.org/2001/XMLSchema#dateTime,literal,1917-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q39899,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
15,uri,http://www.wikidata.org/entity/Q661495,en,literal,Avvenire,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
16,uri,http://www.wikidata.org/entity/Q55205917,en,literal,Best Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
17,uri,http://www.wikidata.org/entity/Q1436858,en,literal,Ford Italia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1923-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,"http://www.wikidata.org/entity/Q15815448, http://www.wikidata.org/entity/Q190117",literal,,literal,,literal,"http://www.wikidata.org/entity/Q1891, http://www.wikidata.org/entity/Q220",literal,,,,,,,,,,,,,,,,,,,,wd:Q38
18,uri,http://www.wikidata.org/entity/Q64392043,en,literal,Red Cafè,,,,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
19,uri,http://www.wikidata.org/entity/Q3897831,en,literal,Patrizia Pepe,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q82636,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
20,uri,http://www.wikidata.org/entity/Q30284569,en,literal,Roma Servizi per la Mobilità,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q220,literal,,it,literal,Roma Servizi per la Mobilità S.r.l.,http://www.w3.org/2001/XMLSchema#decimal,literal,314,http://www.w3.org/2001/XMLSchema#decimal,literal,29681,,,,,,,,,,wd:Q38
21,uri,http://www.wikidata.org/entity/Q3758568,en,literal,Garzanti,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q490,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
22,uri,http://www.wikidata.org/entity/Q650467,en,literal,Wind Telecomunicazioni,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,http://www.wikidata.org/entity/Q25245117,literal,"http://www.wikidata.org/entity/Q81516586, http://www.wikidata.org/entity/Q16657998, http://www.wikidata.org/entity/Q3992828",literal,,literal,http://www.wikidata.org/entity/Q42784,literal,,it,literal,Wind Telecomunicazioni S.p.A.,,,,,,,,,,,,,,,,wd:Q38
23,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,,,,wd:Q38
24,uri,http://www.wikidata.org/entity/Q3979545,en,literal,TGcom24,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q38,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q38
