,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q2328548,en,literal,Stadtwerke Kufstein,http://www.w3.org/2001/XMLSchema#dateTime,literal,1894-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q1341477,literal,,literal,,literal,http://www.wikidata.org/entity/Q486341,literal,,,,,,,,,,,,,,,,,wd:Q40
1,uri,http://www.wikidata.org/entity/Q696867,en,literal,Erste Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1741,literal,"http://www.wikidata.org/entity/Q1310001, http://www.wikidata.org/entity/Q2567030",,,,,,,,,,,,,,,,wd:Q40
2,uri,http://www.wikidata.org/entity/Q2011598,en,literal,Oberösterreichischer Kunstverein,http://www.w3.org/2001/XMLSchema#dateTime,literal,1851-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q41329,literal,,,,,,,,,,,,,,,,,wd:Q40
3,uri,http://www.wikidata.org/entity/Q96034995,en,literal,Seayou Records,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
4,uri,http://www.wikidata.org/entity/Q591359,en,literal,Steyr Arms,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q392933,literal,,literal,,literal,http://www.wikidata.org/entity/Q682115,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,150,de,literal,Josef und Franz Werndl & Comp. Waffenfabrik und Sägemühle in Oberletten,,,,,,,,,,wd:Q40
5,uri,http://www.wikidata.org/entity/Q1545532,en,literal,Greiner Bio-One,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q7108,literal,,literal,,literal,http://www.wikidata.org/entity/Q580868,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,364,,,,,,,,,,,,,wd:Q40
6,uri,http://www.wikidata.org/entity/Q1169599,en,literal,Unimarkt,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q15825471,literal,,literal,,literal,http://www.wikidata.org/entity/Q260176,literal,,,,,,,,,,,,,,,,,wd:Q40
7,uri,http://www.wikidata.org/entity/Q66423439,en,literal,Restaurant Danieli,,,,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
8,uri,http://www.wikidata.org/entity/Q379938,en,literal,BAWAG,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,"http://www.wikidata.org/entity/Q29584334, http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1741,literal,,,,,de,literal,Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,,,,,,,,,,wd:Q40
9,uri,http://www.wikidata.org/entity/Q794939,en,literal,B&B Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q27686,literal,,literal,,literal,,literal,,,,,en,literal,B&B Hotels,,,,,,,,,,wd:Q40
10,uri,http://www.wikidata.org/entity/Q56695669,en,literal,Eissalon Laxenburg,,,,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
11,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,,,,,,,,,,,,,wd:Q40
12,uri,http://www.wikidata.org/entity/Q15820339,en,literal,Interspar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q34713,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,8900,,,,,,,,,,,,,wd:Q40
13,uri,http://www.wikidata.org/entity/Q114946167,en,literal,da emobil,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q1735,literal,,,,,,,,,,,,,,,,,wd:Q40
14,uri,http://www.wikidata.org/entity/Q277121,en,literal,98.3 superfly,,,,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
15,uri,http://www.wikidata.org/entity/Q667547,en,literal,Steyr Tractor,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q661451,literal,,,,,de,literal,CNH Industrial Österreich GmbH,,,,,,,,,,wd:Q40
16,uri,http://www.wikidata.org/entity/Q254425,en,literal,Demel,http://www.w3.org/2001/XMLSchema#dateTime,literal,1786-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q47505416,literal,,literal,,literal,http://www.wikidata.org/entity/Q1741,literal,,,,,,,,,,,,,,,,,wd:Q40
17,uri,http://www.wikidata.org/entity/Q106690187,en,literal,Ländle TV,,,,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
18,uri,http://www.wikidata.org/entity/Q114664931,en,literal,Awfully Nice Studios,,,,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1735,literal,,,,,,,,,,,,,,,,,wd:Q40
19,uri,http://www.wikidata.org/entity/Q119845935,en,literal,SkyTale Software GmbH,,,,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1741,literal,,,,,,,,,,,,,,,,,wd:Q40
20,uri,http://www.wikidata.org/entity/Q117221911,en,literal,Evo,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q1065656,literal,,literal,,literal,http://www.wikidata.org/entity/Q585,literal,,,,,,,,,,,,,,,,,wd:Q40
21,uri,http://www.wikidata.org/entity/Q591359,en,literal,Steyr Arms,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q392933,literal,,literal,,literal,http://www.wikidata.org/entity/Q682115,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,150,de,literal,Steyr Mannlicher AG,,,,,,,,,,wd:Q40
22,uri,http://www.wikidata.org/entity/Q19687619,en,literal,Felbermayr,http://www.w3.org/2001/XMLSchema#dateTime,literal,1942-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q178582,literal,,,,,,,,,,,,,,,,,wd:Q40
23,uri,http://www.wikidata.org/entity/Q259686,en,literal,Puch,http://www.w3.org/2001/XMLSchema#dateTime,literal,1899-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q13298,literal,,,,,de,literal,Puch-Werke AG & Co KG,,,,,,,,,,wd:Q40
24,uri,http://www.wikidata.org/entity/Q109558465,en,literal,1a autoservice,,,,uri,http://www.wikidata.org/entity/Q183,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
25,uri,http://www.wikidata.org/entity/Q55524814,en,literal,Maximarkt,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q41329,literal,,,,,,,,,,,,,,,,,wd:Q40
26,uri,http://www.wikidata.org/entity/Q477875,en,literal,ams OSRAM AG,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,"http://www.wikidata.org/entity/Q5358497, http://www.wikidata.org/entity/Q2986369, http://www.wikidata.org/entity/Q11650",literal,http://www.wikidata.org/entity/Q50616443,literal,,literal,"http://www.wikidata.org/entity/Q18632185, http://www.wikidata.org/entity/Q41358",literal,http://www.wikidata.org/entity/Q17591621,,,,,,,,,,,,,,,,wd:Q40
27,uri,http://www.wikidata.org/entity/Q1767737,en,literal,Radio U1 Tirol,,,,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q40
28,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,,,,,,,,,,,,,wd:Q40
29,uri,http://www.wikidata.org/entity/Q41171672,en,literal,Aldi Süd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q215,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2899,literal,http://www.wikidata.org/entity/Q125054,,,,,,,,,,,,,,,,wd:Q40
