,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,markcap.datatype,markcap.type,markcap.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q531285,en,literal,University of Newcastle,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
1,uri,http://www.wikidata.org/entity/Q4822750,en,literal,Ausgrid,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,en,literal,The Trustee for Blue Op Partner Trust & Others,,,,,,,,,,,,,,,,wd:Q408
2,uri,http://www.wikidata.org/entity/Q105960982,en,literal,Spotlight,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
3,uri,http://www.wikidata.org/entity/Q598841,en,literal,Monash University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,7678,,,,,,,,,,,,,wd:Q408
4,uri,http://www.wikidata.org/entity/Q757307,en,literal,Atlassian,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q880371,literal,,literal,,literal,"http://www.wikidata.org/entity/Q60055192, http://www.wikidata.org/entity/Q3130",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,4907,,,,,,,,,,,,,wd:Q408
5,uri,http://www.wikidata.org/entity/Q52578284,en,literal,UTS ePRESS,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1145731,,,,,,,,,,,,,,,,,,,wd:Q408
6,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,21,,,,,,,,,,,,,wd:Q408
7,uri,http://www.wikidata.org/entity/Q292374,en,literal,AGL Energy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,en,literal,AGL ENERGY LIMITED.,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,3469658142,,,,,,,,,,wd:Q408
8,uri,http://www.wikidata.org/entity/Q2998907,en,literal,Country Road,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q3141,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
9,uri,http://www.wikidata.org/entity/Q115203761,en,literal,Bell Infrastructure,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q121359,literal,,literal,,literal,"http://www.wikidata.org/entity/Q99, http://www.wikidata.org/entity/Q62",literal,,,,,,,,,,,,,,,,,,,,wd:Q408
10,uri,http://www.wikidata.org/entity/Q41550,en,literal,Organisation for Economic Cooperation and Development,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q112166212,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2971342, http://www.wikidata.org/entity/Q3114, http://www.wikidata.org/entity/Q90",literal,,fr,literal,Organisation de coopération et de développement économiques,,,,,,,,,,,,,,,,wd:Q408
11,uri,http://www.wikidata.org/entity/Q109626935,en,literal,Baby Bunting,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,en,literal,Baby Bunting Group Limited,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,768059931,,,,,,,,,,wd:Q408
12,uri,http://www.wikidata.org/entity/Q111320101,en,literal,Switter,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q30325419,,,,,,,,,,,,,,,,,,,wd:Q408
13,uri,http://www.wikidata.org/entity/Q64326907,en,literal,Bell Hub,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-05-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q37929123, http://www.wikidata.org/entity/Q2140665, http://www.wikidata.org/entity/Q1139861, http://www.wikidata.org/entity/Q126793, http://www.wikidata.org/entity/Q81799",literal,,literal,,literal,"http://www.wikidata.org/entity/Q3224, http://www.wikidata.org/entity/Q3130",literal,http://www.wikidata.org/entity/Q295382,,,,,,,,,,,,,,,,,,,wd:Q408
14,uri,http://www.wikidata.org/entity/Q4997829,en,literal,Bunnings Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5685486,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,31000,,,,,,,,,,,,,wd:Q408
15,uri,http://www.wikidata.org/entity/Q17000714,en,literal,Airtasker,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,en,literal,AIRTASKER LIMITED,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,430233246,,,,,,,,,,wd:Q408
16,uri,http://www.wikidata.org/entity/Q4273332,en,literal,Australian Reptile Park,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
17,uri,http://www.wikidata.org/entity/Q41171672,en,literal,ALDI Süd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q215,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2899,literal,http://www.wikidata.org/entity/Q125054,,,,,,,,,,,,,,,,,,,wd:Q408
18,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,21,,,,,,,,,,,,,wd:Q408
19,uri,http://www.wikidata.org/entity/Q7548740,en,literal,Snowy Hydro,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1129726,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
20,uri,http://www.wikidata.org/entity/Q111081406,en,literal,Kitchen Connection,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-08-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q6710412,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
21,uri,http://www.wikidata.org/entity/Q106119874,en,literal,Zap Fitness,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q40191,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
22,uri,http://www.wikidata.org/entity/Q610616,en,literal,Indus Age,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
23,uri,http://www.wikidata.org/entity/Q7753866,en,literal,The Newcastle Herald,http://www.w3.org/2001/XMLSchema#dateTime,literal,1858-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
24,uri,http://www.wikidata.org/entity/Q98325662,en,literal,Australian Radio Towers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q828526,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
25,uri,http://www.wikidata.org/entity/Q17028509,en,literal,The Singleton Argus,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
26,uri,http://www.wikidata.org/entity/Q99522958,en,literal,Southern Launch,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-08-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5112,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
27,uri,http://www.wikidata.org/entity/Q115203761,en,literal,Bell Infrastructure,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q121359,literal,,literal,,literal,"http://www.wikidata.org/entity/Q99, http://www.wikidata.org/entity/Q62",literal,,,,,,,,,,,,,,,,,,,,wd:Q408
28,uri,http://www.wikidata.org/entity/Q83443964,en,literal,Simpo Cleaning,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3224,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
29,uri,http://www.wikidata.org/entity/Q47238019,en,literal,Shit Wank Records,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
30,uri,http://www.wikidata.org/entity/Q14468778,en,literal,Herbert Smith Freehills,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
31,uri,http://www.wikidata.org/entity/Q28219851,en,literal,Airly,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
32,uri,http://www.wikidata.org/entity/Q5416698,en,literal,Event Cinemas,http://www.w3.org/2001/XMLSchema#dateTime,literal,1934-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
33,uri,http://www.wikidata.org/entity/Q6508496,en,literal,Leader Messenger,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
34,uri,http://www.wikidata.org/entity/Q17008691,en,literal,Jurlique,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q12752882,literal,,literal,,literal,http://www.wikidata.org/entity/Q408,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
35,uri,http://www.wikidata.org/entity/Q28134443,en,literal,FarmBot,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
36,uri,http://www.wikidata.org/entity/Q20648697,en,literal,South32,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q1945600,literal,,literal,,literal,http://www.wikidata.org/entity/Q3183,literal,,en,literal,South32 Limited,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,16276187063,,,,,,,,,,wd:Q408
37,uri,http://www.wikidata.org/entity/Q3125951,en,literal,Halfbrick Studios Pty Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q34932,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
38,uri,http://www.wikidata.org/entity/Q108044091,en,literal,Ribbet,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-03-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,"http://www.wikidata.org/entity/Q868410, http://www.wikidata.org/entity/Q638608, http://www.wikidata.org/entity/Q11016, http://www.wikidata.org/entity/Q7397",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
39,uri,http://www.wikidata.org/entity/Q105045807,en,literal,Teko,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,en,literal,Teko Corporation Pty Limited,,,,,,,,,,,,,,,,wd:Q408
40,uri,http://www.wikidata.org/entity/Q1006504,en,literal,Fastmail,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,http://www.wikidata.org/entity/Q104983012,literal,,literal,http://www.wikidata.org/entity/Q3141,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
41,uri,http://www.wikidata.org/entity/Q106687078,en,literal,Liberty Oil,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
42,uri,http://www.wikidata.org/entity/Q5666678,en,literal,Harry's Cafe de Wheels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q41958,literal,,literal,,literal,http://www.wikidata.org/entity/Q2915990,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
43,uri,http://www.wikidata.org/entity/Q3110722,en,literal,Goodman Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,en,literal,GOODMAN GROUP,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,44949435973,,,,,,,,,,wd:Q408
44,uri,http://www.wikidata.org/entity/Q106236086,en,literal,Jellis Craig,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
45,uri,http://www.wikidata.org/entity/Q16952468,en,literal,Bob Jane T-Marts,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q3141,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
46,uri,http://www.wikidata.org/entity/Q4824029,en,literal,Australian Computer Society,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
47,uri,http://www.wikidata.org/entity/Q109783503,en,literal,JOLT,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
48,uri,http://www.wikidata.org/entity/Q61573625,en,literal,Hilton Surfers Paradise Hotel & Residences,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,en,literal,Hilton Surfers Paradise,,,,,,,,,,,,,,,,wd:Q408
49,uri,http://www.wikidata.org/entity/Q50038833,en,literal,KPMG (Australia),http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
50,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
51,uri,http://www.wikidata.org/entity/Q892188,en,literal,Bond University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
