,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q2496204,en,literal,Saint Thomas Aquinas University of the North,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
1,uri,http://www.wikidata.org/entity/Q73281818,en,literal,Ederkind Música,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
2,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,,,,wd:Q414
3,uri,http://www.wikidata.org/entity/Q180562,en,literal,LATAM Argentina,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
4,uri,http://www.wikidata.org/entity/Q101429710,en,literal,Manfrey,http://www.w3.org/2001/XMLSchema#dateTime,literal,1943-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q13554450,literal,,literal,,literal,http://www.wikidata.org/entity/Q1456012,literal,,,,,,,,,,,,,,,,,wd:Q414
5,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q783,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,,,,wd:Q414
6,uri,http://www.wikidata.org/entity/Q924518,en,literal,La Voz del Interior,http://www.w3.org/2001/XMLSchema#dateTime,literal,1904-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q44210,literal,,,,,,,,,,,,,,,,,wd:Q414
7,uri,http://www.wikidata.org/entity/Q100272303,en,literal,Mi Bici Tu Bici,,,,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
8,uri,http://www.wikidata.org/entity/Q2006989,en,literal,YPF,http://www.w3.org/2001/XMLSchema#dateTime,literal,1922-06-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1486,literal,,,,,,,,,,,,,,,,,wd:Q414
9,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q983,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,,,,wd:Q414
10,uri,http://www.wikidata.org/entity/Q6978293,en,literal,National Scientific and Technical Research Council,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-02-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q414
