,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q1416237,en,literal,QNB Finansbank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q48898,literal,,,,,,,,,,,,,,wd:Q43
1,uri,http://www.wikidata.org/entity/Q6084348,en,literal,Damat Tween,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
2,uri,http://www.wikidata.org/entity/Q967294,en,literal,TRT 1,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
3,uri,http://www.wikidata.org/entity/Q28940638,en,literal,TEB Cetelem,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
4,uri,http://www.wikidata.org/entity/Q675808,en,literal,Caffè Nero,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q4236467,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,,,,,,,wd:Q43
5,uri,http://www.wikidata.org/entity/Q6063045,en,literal,TRT World,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
6,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,wd:Q43
7,uri,http://www.wikidata.org/entity/Q110454434,en,literal,Hakmar,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
8,uri,http://www.wikidata.org/entity/Q19613992,en,literal,Şok Supermarket Chains,,,,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
9,uri,http://www.wikidata.org/entity/Q3238417,en,literal,BeIN Sports (Türkiye),http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-09-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q43,literal,,tr,literal,beIN Sports,,,,,,,,,,wd:Q43
