,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q28,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
1,uri,http://www.wikidata.org/entity/Q124339994,en,literal,Profile,,,,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q992,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
2,uri,http://www.wikidata.org/entity/Q170416,en,literal,Koninklijke Philips NV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1891-05-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q5358497, http://www.wikidata.org/entity/Q1326885, http://www.wikidata.org/entity/Q581105",literal,"http://www.wikidata.org/entity/Q113636437, http://www.wikidata.org/entity/Q1445487",literal,,literal,"http://www.wikidata.org/entity/Q2742011, http://www.wikidata.org/entity/Q9832, http://www.wikidata.org/entity/Q727",literal,,nl,literal,Koninklijke Philips N.V.,http://www.w3.org/2001/XMLSchema#decimal,literal,81592,http://www.w3.org/2001/XMLSchema#decimal,literal,3323000000,http://www.w3.org/2001/XMLSchema#decimal,literal,30961000000,http://www.w3.org/2001/XMLSchema#decimal,literal,35600000000,http://www.w3.org/2001/XMLSchema#decimal,literal,14438000000,wd:Q55
3,uri,http://www.wikidata.org/entity/Q170416,en,literal,Koninklijke Philips NV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1891-05-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q5358497, http://www.wikidata.org/entity/Q1326885, http://www.wikidata.org/entity/Q581105",literal,"http://www.wikidata.org/entity/Q113636437, http://www.wikidata.org/entity/Q1445487",literal,,literal,"http://www.wikidata.org/entity/Q2742011, http://www.wikidata.org/entity/Q9832, http://www.wikidata.org/entity/Q727",literal,,nl,literal,Koninklijke Philips NV,http://www.w3.org/2001/XMLSchema#decimal,literal,81592,http://www.w3.org/2001/XMLSchema#decimal,literal,3323000000,http://www.w3.org/2001/XMLSchema#decimal,literal,26019000000,http://www.w3.org/2001/XMLSchema#decimal,literal,35600000000,http://www.w3.org/2001/XMLSchema#decimal,literal,12088000000,wd:Q55
4,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,wd:Q55
5,uri,http://www.wikidata.org/entity/Q154950,en,literal,Shell,http://www.w3.org/2001/XMLSchema#dateTime,literal,1890-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q862571, http://www.wikidata.org/entity/Q12089268",literal,"http://www.wikidata.org/entity/Q15650949, http://www.wikidata.org/entity/Q116012, http://www.wikidata.org/entity/Q354962, http://www.wikidata.org/entity/Q113988833",literal,http://www.wikidata.org/entity/Q15042554,literal,http://www.wikidata.org/entity/Q939044,literal,"http://www.wikidata.org/entity/Q291539, http://www.wikidata.org/entity/Q466496, http://www.wikidata.org/entity/Q1165860",en,literal,Shell plc,http://www.w3.org/2001/XMLSchema#decimal,literal,83000,http://www.w3.org/2001/XMLSchema#decimal,literal,15842000000,http://www.w3.org/2001/XMLSchema#decimal,literal,404336000000,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,190463000000,wd:Q55
6,uri,http://www.wikidata.org/entity/Q631507,en,literal,Arcadis,http://www.w3.org/2001/XMLSchema#dateTime,literal,1888-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q130286,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1310, http://www.wikidata.org/entity/Q727",literal,,nl,literal,ARCADIS N.V.,http://www.w3.org/2001/XMLSchema#decimal,literal,21943,,,,,,,,,,,,,wd:Q55
7,uri,http://www.wikidata.org/entity/Q287471,en,literal,ABN AMRO,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,"http://www.wikidata.org/entity/Q93332451, http://www.wikidata.org/entity/Q27894018, http://www.wikidata.org/entity/Q717674",literal,,literal,http://www.wikidata.org/entity/Q727,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,18830,,,,,,,,,,,,,wd:Q55
8,uri,http://www.wikidata.org/entity/Q91307483,en,literal,Yesss Electrical,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q112165722,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q55
9,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,,,,wd:Q55
