,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,markcap.datatype,markcap.type,markcap.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q4040441,en,literal,Harvey Norman,en,literal,HARVEY NORMAN HOLDINGS LIMITED,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6416934268,,,,wd:Q664
1,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,wd:Q664
2,uri,http://www.wikidata.org/entity/Q116784479,en,literal,Just Cuts,en,literal,Just Cuts Franchising Pty Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-09-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2733536,literal,,,,,,,,wd:Q664
3,uri,http://www.wikidata.org/entity/Q111870541,en,literal,The Blue Pub,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
4,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q833,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,wd:Q664
5,uri,http://www.wikidata.org/entity/Q6167713,en,literal,Jaycar,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q7384866, http://www.wikidata.org/entity/Q1461374",literal,,,,,,,,wd:Q664
6,uri,http://www.wikidata.org/entity/Q30598508,en,literal,Garage,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
7,uri,http://www.wikidata.org/entity/Q7994237,en,literal,Whitcoulls,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
8,uri,http://www.wikidata.org/entity/Q111949119,en,literal,Gull New Zealand,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
9,uri,http://www.wikidata.org/entity/Q7948949,en,literal,WEL Networks,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q844861,literal,,literal,,literal,http://www.wikidata.org/entity/Q200028,literal,,,,,,,,wd:Q664
10,uri,http://www.wikidata.org/entity/Q7884722,en,literal,Unichem,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
11,uri,http://www.wikidata.org/entity/Q8063337,en,literal,Z Energy,en,literal,Z ENERGY LIMITED,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q23661,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1795645143,,,,wd:Q664
12,uri,http://www.wikidata.org/entity/Q5430190,en,literal,Stuff Limited,en,literal,Stuff Limited,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q47037646,literal,,,,,,,,wd:Q664
13,uri,http://www.wikidata.org/entity/Q111015122,en,literal,The Bottle-O,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
14,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,wd:Q664
15,uri,http://www.wikidata.org/entity/Q110619267,en,literal,Chipmunks Playland & Café,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
16,uri,http://www.wikidata.org/entity/Q118464713,en,literal,Danske Møbler,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
17,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,,,,,,,wd:Q664
18,uri,http://www.wikidata.org/entity/Q109549554,en,literal,Livestyl,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q664,literal,,,,,,,,wd:Q664
19,uri,http://www.wikidata.org/entity/Q95975802,en,literal,Living Cell Technologies,en,literal,Living Cell Technologies,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q986198,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,5710810,,,,wd:Q664
20,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,wd:Q664
21,uri,http://www.wikidata.org/entity/Q6882394,en,literal,Mitre 10,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-06-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q37100,literal,,,,,,,,wd:Q664
22,uri,http://www.wikidata.org/entity/Q7059634,en,literal,Northpower,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q844861,literal,,literal,,literal,http://www.wikidata.org/entity/Q744239,literal,,,,,,,,wd:Q664
23,uri,http://www.wikidata.org/entity/Q7015226,en,literal,New Zealand Association of Scientists,en,literal,New Zealand Association Of Scientists Incorporated,http://www.w3.org/2001/XMLSchema#dateTime,literal,1941-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
24,uri,http://www.wikidata.org/entity/Q3788105,en,literal,KiwiRail,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q23661,literal,,,,,,,,wd:Q664
