,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q1230458",,,,,,,,,,wd:Q668
1,uri,http://www.wikidata.org/entity/Q6917320,en,literal,Mother Dairy,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q627371,literal,,literal,,literal,http://www.wikidata.org/entity/Q1353,literal,,,,,,,,,,,wd:Q668
2,uri,http://www.wikidata.org/entity/Q122812738,en,literal,Goroomgo,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
3,uri,http://www.wikidata.org/entity/Q2723181,en,literal,Rajshri Productions,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
4,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,ar,literal,منظمة الصحة العالمية,,,,,,,wd:Q668
5,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q668
6,uri,http://www.wikidata.org/entity/Q48731008,en,literal,Star Air,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
7,uri,http://www.wikidata.org/entity/Q110268574,en,literal,Villamart,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q11451,literal,,literal,,literal,http://www.wikidata.org/entity/Q171771,literal,,,,,,,,,,,wd:Q668
8,uri,http://www.wikidata.org/entity/Q4849846,en,literal,Balaji Motion Pictures,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
9,uri,http://www.wikidata.org/entity/Q83473736,en,literal,Adani Green Energy,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-23T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1070,literal,,,,,,,,,,,wd:Q668
