,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q5769689,en,literal,Cines Unidos,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q191164,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-06-13T00:00:00Z,es,literal,Compañía Anónima Empresa Cines Unidos,wd:Q717
1,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q811,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q717
2,uri,http://www.wikidata.org/entity/Q109606691,en,literal,MRW,uri,http://www.wikidata.org/entity/Q717,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,wd:Q717
3,uri,http://www.wikidata.org/entity/Q760690,en,literal,University of the Andes,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q23551,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1785-01-01T00:00:00Z,,,,wd:Q717
4,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q77,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
5,uri,http://www.wikidata.org/entity/Q5159960,en,literal,Conferry,uri,http://www.wikidata.org/entity/Q717,literal,http://www.wikidata.org/entity/Q155930,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,,,,wd:Q717
6,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q228,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
7,uri,http://www.wikidata.org/entity/Q109608141,en,literal,Botiqueria,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q717
8,uri,http://www.wikidata.org/entity/Q5964485,en,literal,La Nación,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-12-23T00:00:00Z,,,,wd:Q717
9,uri,http://www.wikidata.org/entity/Q5271864,en,literal,Diario VEA,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-09-02T00:00:00Z,,,,wd:Q717
10,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q774,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
11,uri,http://www.wikidata.org/entity/Q5718196,en,literal,Banco del Tesoro,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,,,,,,,,wd:Q717
12,uri,http://www.wikidata.org/entity/Q1135320,en,literal,Correo del Orinoco,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1808-01-01T00:00:00Z,,,,wd:Q717
13,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
14,uri,http://www.wikidata.org/entity/Q5803569,en,literal,El Luchador,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-07-15T00:00:00Z,,,,wd:Q717
15,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q783,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
16,uri,http://www.wikidata.org/entity/Q4835087,en,literal,BBVA Provincial,uri,http://www.wikidata.org/entity/Q717,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-08-08T00:00:00Z,,,,wd:Q717
17,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q983,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q717
18,uri,http://www.wikidata.org/entity/Q1324400,en,literal,El Nacional,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,http://www.wikidata.org/entity/Q54837,http://www.w3.org/2001/XMLSchema#dateTime,literal,1943-08-03T00:00:00Z,,,,wd:Q717
19,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
20,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q786,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
21,uri,http://www.wikidata.org/entity/Q59334852,,literal,Q59334852,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-11-27T00:00:00Z,,,,wd:Q717
22,uri,http://www.wikidata.org/entity/Q6156664,en,literal,Rafael Belloso Chacin University,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,wd:Q717
23,uri,http://www.wikidata.org/entity/Q63184744,en,literal,Diario de Frente,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q43271, http://www.wikidata.org/entity/Q717",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-07-24T00:00:00Z,,,,wd:Q717
24,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q717
25,uri,http://www.wikidata.org/entity/Q76313,en,literal,Wayuunaiki,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q717
26,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q792,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
27,uri,http://www.wikidata.org/entity/Q59333856,en,literal,Versión Final (Newspaper),uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q717
28,uri,http://www.wikidata.org/entity/Q4854108,en,literal,Banco Occidental de Descuento,uri,http://www.wikidata.org/entity/Q717,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,http://www.wikidata.org/entity/Q18720299,literal,http://www.wikidata.org/entity/Q171632,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-08T00:00:00Z,,,,wd:Q717
29,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q800,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
30,uri,http://www.wikidata.org/entity/Q5856092,en,literal,Farmatodo,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1918-01-01T00:00:00Z,,,,wd:Q717
31,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q804,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
32,uri,http://www.wikidata.org/entity/Q5681607,en,literal,Banco Exterior,uri,http://www.wikidata.org/entity/Q717,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-24T00:00:00Z,,,,wd:Q717
33,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q811,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q717
34,uri,http://www.wikidata.org/entity/Q59336055,en,literal,El Caroreño,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-07-26T00:00:00Z,,,,wd:Q717
35,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q717
36,uri,http://www.wikidata.org/entity/Q5803569,en,literal,El Luchador,uri,http://www.wikidata.org/entity/Q717,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1905-01-01T00:00:00Z,,,,wd:Q717
37,uri,http://www.wikidata.org/entity/Q4302263,en,literal,CANTV,uri,http://www.wikidata.org/entity/Q717,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q1533,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1930-06-20T00:00:00Z,,,,wd:Q717
