,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q7894254,en,literal,Universidad Católica de Oriente,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-02-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
1,uri,http://www.wikidata.org/entity/Q909209,en,literal,El Comercio,http://www.w3.org/2001/XMLSchema#dateTime,literal,1906-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
2,uri,http://www.wikidata.org/entity/Q7894254,en,literal,Universidad Católica de Oriente,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-02-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
3,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q736
4,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q783,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q736
5,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q983,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
6,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q736
7,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q786,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q736
8,uri,http://www.wikidata.org/entity/Q62108380,en,literal,Farmacias Económicas,,,,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,,literal,,,,,wd:Q736
9,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",wd:Q736
10,uri,http://www.wikidata.org/entity/Q1812822,en,literal,EP Petroecuador,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-04-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q736,literal,"http://www.wikidata.org/entity/Q3444730, http://www.wikidata.org/entity/Q2542096, http://www.wikidata.org/entity/Q862571",literal,,literal,,literal,http://www.wikidata.org/entity/Q2900,literal,,es,literal,Empresa Pública de Hidrocarburos del Ecuador,wd:Q736
