,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q110551999,en,literal,Alnahrain For printing and advertising,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1530,literal,,,,,,,,,,,wd:Q796
1,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
2,uri,http://www.wikidata.org/entity/Q4119195,en,literal,Baghdad Satellite Channel,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q796
3,uri,http://www.wikidata.org/entity/Q1778674,en,literal,Central Bank of Iraq,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,,,,,,,wd:Q796
4,uri,http://www.wikidata.org/entity/Q12233667,en,literal,Karbala TV,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q199909,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,,,,wd:Q796
5,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,wd:Q796
6,uri,http://www.wikidata.org/entity/Q369629,en,literal,Salahaddin University-Erbil,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q132754,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,,,,,,,wd:Q796
7,uri,http://www.wikidata.org/entity/Q8064821,en,literal,Zain Iraq,uri,http://www.wikidata.org/entity/Q796,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-12-01T00:00:00Z,,,,,,,wd:Q796
8,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,uri,http://www.wikidata.org/entity/Q34,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,wd:Q796
9,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
