,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,markcap.datatype,markcap.type,markcap.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q2893391,en,literal,Anobit,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q5830907,literal,,literal,,literal,http://www.wikidata.org/entity/Q17061570,literal,,,,,,,,,,,,,,wd:Q801
1,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,wd:Q801
2,uri,http://www.wikidata.org/entity/Q76596988,en,literal,Abadi Bakery,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q2836940,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
3,uri,http://www.wikidata.org/entity/Q2912754,en,literal,Delta-galil Industries Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q28823,literal,http://www.wikidata.org/entity/Q21806452,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,he,literal,דלתא-גליל תעשיות בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,4520900000,,,,,,,wd:Q801
4,uri,http://www.wikidata.org/entity/Q1383275,en,literal,Ex Libris Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q93661,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
5,uri,http://www.wikidata.org/entity/Q20988785,en,literal,TipRanks,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
6,uri,http://www.wikidata.org/entity/Q1319103,en,literal,Challenge Airlines IL,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
7,uri,http://www.wikidata.org/entity/Q7189994,en,literal,Gordon Gallery,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
8,uri,http://www.wikidata.org/entity/Q244411,en,literal,Bank of Israel,http://www.w3.org/2001/XMLSchema#dateTime,literal,1954-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,http://www.wikidata.org/entity/Q41800340,literal,http://www.wikidata.org/entity/Q1218,literal,,ar,literal,بنك إسرائيل,,,,,,,,,,wd:Q801
9,uri,http://www.wikidata.org/entity/Q12410796,en,literal,charlton,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
10,uri,http://www.wikidata.org/entity/Q100989567,en,literal,Blustein Maps & More,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
11,uri,http://www.wikidata.org/entity/Q110739667,en,literal,Be,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
12,uri,http://www.wikidata.org/entity/Q2908845,en,literal,Reichman University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
13,uri,http://www.wikidata.org/entity/Q89314470,en,literal,Merkaza,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2640151,literal,,,,,,,,,,,,,,wd:Q801
14,uri,http://www.wikidata.org/entity/Q2909707,en,literal,Leumit Health Fund,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,he,literal,קופת חולים לאומית,,,,,,,,,,wd:Q801
15,uri,http://www.wikidata.org/entity/Q12406771,en,literal,Merkaz ha-Yiśreʼeli le-haʻatsamat ha-ezraḥ,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2094572,literal,,,,,,,,,,,,,,wd:Q801
16,uri,http://www.wikidata.org/entity/Q108874744,en,literal,Realworks Ltd,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
