,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q13186934,en,literal,Citizens Bank International,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,"http://www.wikidata.org/entity/Q96107414, http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,,,,wd:Q837
1,uri,http://www.wikidata.org/entity/Q13179656,en,literal,Ncell,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,,literal,,,,,wd:Q837
2,uri,http://www.wikidata.org/entity/Q5324409,en,literal,eSewa,,,,uri,http://www.wikidata.org/entity/Q837,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,,,,wd:Q837
3,uri,http://www.wikidata.org/entity/Q56527060,en,literal,Bitsewa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,,literal,,literal,,literal,,literal,,,,,wd:Q837
4,uri,http://www.wikidata.org/entity/Q13186831,en,literal,Sanima Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,http://www.wikidata.org/entity/Q96107414,literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,,,,wd:Q837
5,uri,http://www.wikidata.org/entity/Q6994325,en,literal,Nepal Bangladesh Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,http://www.wikidata.org/entity/Q96107414,literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,,,,wd:Q837
6,uri,http://www.wikidata.org/entity/Q1318435,en,literal,Nepal Rastra Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-04-26T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4853109,literal,,,,,wd:Q837
7,uri,http://www.wikidata.org/entity/Q6376965,en,literal,Kathmandu University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,344,wd:Q837
8,uri,http://www.wikidata.org/entity/Q25226694,en,literal,Naya Patrika,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,,literal,,literal,,literal,,literal,,,,,wd:Q837
9,uri,http://www.wikidata.org/entity/Q13179664,en,literal,NMB Bank Nepal,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,http://www.wikidata.org/entity/Q806718,literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,,,,wd:Q837
10,uri,http://www.wikidata.org/entity/Q58478566,en,literal,FinePrint,,,,uri,http://www.wikidata.org/entity/Q837,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,,,,wd:Q837
11,uri,http://www.wikidata.org/entity/Q13180801,en,literal,Global IME Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,http://www.wikidata.org/entity/Q96107414,literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,,,,wd:Q837
12,uri,http://www.wikidata.org/entity/Q25350848,en,literal,KIEC,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-09-19T00:00:00Z,uri,http://www.wikidata.org/entity/Q837,literal,http://www.wikidata.org/entity/Q5341276,literal,,literal,,literal,http://www.wikidata.org/entity/Q3037,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,120,wd:Q837
