,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q13473,en,literal,beIN SPORTS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,http://www.wikidata.org/entity/Q776008,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,,,,,,,,wd:Q846
1,uri,http://www.wikidata.org/entity/Q82707520,en,literal,Mulberry Tavern,,,,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q846
2,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1049,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
3,uri,http://www.wikidata.org/entity/Q208033,en,literal,Qatar Airways,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,http://www.wikidata.org/entity/Q4117408,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,,ar,literal,الْخُطُوطُ الْجَوِّيَّةُ الْقَطَرِيَّة,http://www.w3.org/2001/XMLSchema#decimal,literal,50000,wd:Q846
4,uri,http://www.wikidata.org/entity/Q66132404,en,literal,dean&david,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q183,literal,http://www.wikidata.org/entity/Q1751445,literal,,literal,,literal,http://www.wikidata.org/entity/Q504854,literal,,,,,,,,wd:Q846
5,uri,http://www.wikidata.org/entity/Q66132404,en,literal,dean&david,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q32,literal,http://www.wikidata.org/entity/Q1751445,literal,,literal,,literal,http://www.wikidata.org/entity/Q504854,literal,,,,,,,,wd:Q846
6,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
7,uri,http://www.wikidata.org/entity/Q66132404,en,literal,dean&david,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q1751445,literal,,literal,,literal,http://www.wikidata.org/entity/Q504854,literal,,,,,,,,wd:Q846
8,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
9,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
10,uri,http://www.wikidata.org/entity/Q66132404,en,literal,dean&david,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,http://www.wikidata.org/entity/Q1751445,literal,,literal,,literal,http://www.wikidata.org/entity/Q504854,literal,,,,,,,,wd:Q846
11,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q881,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
12,uri,http://www.wikidata.org/entity/Q35587063,en,literal,Vodafone Qatar,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q846
13,uri,http://www.wikidata.org/entity/Q108541264,en,literal,Fadaat Media,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q11033,literal,,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,,,,,,,,wd:Q846
14,uri,http://www.wikidata.org/entity/Q56376880,en,literal,Arab Scientific Community Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,ar,literal,منظمة المجتمع العلمي العربي,,,,wd:Q846
15,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
16,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q810,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
17,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q817,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
18,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
19,uri,http://www.wikidata.org/entity/Q56376880,en,literal,Arab Scientific Community Organization,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,en,literal,Arab Scientific Community Organization,,,,wd:Q846
20,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q974,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
21,uri,http://www.wikidata.org/entity/Q78054939,en,literal,"AlRayyan Hotel Doha, Curio Collection by Hilton",http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-09T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,en,literal,"AlRayyan Hotel Doha, Curio Collection by Hilton",,,,wd:Q846
22,uri,http://www.wikidata.org/entity/Q78054939,en,literal,"AlRayyan Hotel Doha, Curio Collection by Hilton",http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-09T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,ar,literal,فندق الريان الدوحة - كوريو كولكشن من هيلتون,,,,wd:Q846
23,uri,http://www.wikidata.org/entity/Q1811692,en,literal,QatarEnergy,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q3861,literal,,,,,,,,wd:Q846
24,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q842,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
25,uri,http://www.wikidata.org/entity/Q35587063,en,literal,Vodafone Qatar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q846
26,uri,http://www.wikidata.org/entity/Q28221762,en,literal,Qatar Sports Investments,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,http://www.wikidata.org/entity/Q776008,literal,http://www.wikidata.org/entity/Q3861,literal,,,,,,,,wd:Q846
27,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
28,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
29,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,wd:Q846
30,uri,http://www.wikidata.org/entity/Q82692847,en,literal,The Kitchen,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-12-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q846
31,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
32,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,wd:Q846
