,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q119795459,en,literal,Dar Al-Qasim,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q851
1,uri,http://www.wikidata.org/entity/Q6721006,en,literal,Maaden,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q44497,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-03-23T00:00:00Z,ar,literal,شركة التعدين العربية السعودية,http://www.w3.org/2001/XMLSchema#decimal,literal,6149,http://www.w3.org/2001/XMLSchema#decimal,literal,97657597000,http://www.w3.org/2001/XMLSchema#decimal,literal,30655543000,,,,,,,wd:Q851
2,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q851
3,uri,http://www.wikidata.org/entity/Q22947432,en,literal,Rwaq,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-09-15T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q851
4,uri,http://www.wikidata.org/entity/Q4704878,en,literal,Al Tazaj,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q1442415,literal,,literal,,literal,http://www.wikidata.org/entity/Q374365,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q851
5,uri,http://www.wikidata.org/entity/Q12251169,en,literal,Saudi Press Agency,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q851
6,uri,http://www.wikidata.org/entity/Q1535171,en,literal,Saudi Telecom Company,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,http://www.wikidata.org/entity/Q100158628,literal,http://www.wikidata.org/entity/Q3692,literal,http://www.wikidata.org/entity/Q4966205,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-05-02T00:00:00Z,ar,literal,شركة الاتصالات السعودية,http://www.w3.org/2001/XMLSchema#decimal,literal,17000,http://www.w3.org/2001/XMLSchema#decimal,literal,32525893,http://www.w3.org/2001/XMLSchema#decimal,literal,62241384000,,,,,,,wd:Q851
7,uri,http://www.wikidata.org/entity/Q16120241,en,literal,Sunna TV,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q851
8,uri,http://www.wikidata.org/entity/Q2693351,en,literal,Alawwal Bank,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1926-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1691,,,,,,,,,,,,,wd:Q851
9,uri,http://www.wikidata.org/entity/Q1518238,en,literal,The Saudi National Bank,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q374365,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-01-01T00:00:00Z,ar,literal,البنك الأهلي السعودي,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,507263802000,http://www.w3.org/2001/XMLSchema#decimal,literal,64736917000,,,,,,,wd:Q851
10,uri,http://www.wikidata.org/entity/Q4166519,en,literal,Saudi British Bank,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-21T00:00:00Z,ar,literal,البنك السعودي البريطاني,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,265472444000,http://www.w3.org/2001/XMLSchema#decimal,literal,31278928000,,,,,,,wd:Q851
11,uri,http://www.wikidata.org/entity/Q115329680,,literal,Q115329680,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q851
