,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,employees.datatype,employees.type,employees.value,country
0,uri,http://www.wikidata.org/entity/Q63392,en,literal,Syrian Arab News Agency,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-06-24T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
1,uri,http://www.wikidata.org/entity/Q12218199,en,literal,Sham FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-07-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q858
2,uri,http://www.wikidata.org/entity/Q22688068,,literal,Q22688068,,,,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q858
3,uri,http://www.wikidata.org/entity/Q123435130,en,literal,Ward Book House for Publishing and Distribution,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
4,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,,,,,,,,,,wd:Q858
5,uri,http://www.wikidata.org/entity/Q28127435,en,literal,Hawar News Agency,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q858
6,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q34,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,,,,,,,,,,wd:Q858
7,uri,http://www.wikidata.org/entity/Q124257087,en,literal,Mamdouh Adwan Publishing House,,,,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
8,uri,http://www.wikidata.org/entity/Q11641908,en,literal,Syrian News Channel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
9,uri,http://www.wikidata.org/entity/Q12182061,en,literal,Al Madina FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-02-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q858
10,uri,http://www.wikidata.org/entity/Q123133478,en,literal,New Dalmoun Publishing,,,,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
11,uri,http://www.wikidata.org/entity/Q1584130,en,literal,Syriatel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-11-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q535695",literal,,literal,,literal,http://www.wikidata.org/entity/Q15192658,literal,,ar,literal,سيريتل موبايل تيليكوم,http://www.w3.org/2001/XMLSchema#decimal,literal,128783097159,,,,wd:Q858
12,uri,http://www.wikidata.org/entity/Q7663132,en,literal,Syria TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
13,uri,http://www.wikidata.org/entity/Q116998527,en,literal,Dār al-Bashāʼir,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
14,uri,http://www.wikidata.org/entity/Q7040911,en,literal,Ronahî TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q858
15,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,,,,,,,,,,wd:Q858
16,uri,http://www.wikidata.org/entity/Q6718487,en,literal,MTN Syria,,,,uri,http://www.wikidata.org/entity/Q858,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,36432181026,http://www.w3.org/2001/XMLSchema#decimal,literal,1281,wd:Q858
17,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,,,,,,,,,,wd:Q858
18,uri,http://www.wikidata.org/entity/Q112628059,en,literal,Dar al-hiwar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q200030,literal,,,,,,,,,,,wd:Q858
19,uri,http://www.wikidata.org/entity/Q3270934,en,literal,Cham Wings Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
20,uri,http://www.wikidata.org/entity/Q123644402,en,literal,Dār Al-Takwīn,,,,uri,http://www.wikidata.org/entity/Q858,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3766,literal,,,,,,,,,,,wd:Q858
