,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q4215912,en,literal,Cheng Shin Rubber,http://www.w3.org/2001/XMLSchema#decimal,literal,30000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q865,literal,,,,,,,,,,,,,,,,,wd:Q865
1,uri,http://www.wikidata.org/entity/Q16929266,,literal,Q16929266,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-03-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
2,uri,http://www.wikidata.org/entity/Q108204957,en,literal,Emperor Foods,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
3,uri,http://www.wikidata.org/entity/Q4022370,en,literal,Yageo,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q11650,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
4,uri,http://www.wikidata.org/entity/Q714335,en,literal,BenQ,http://www.w3.org/2001/XMLSchema#decimal,literal,1539,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-04-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q1326885,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
5,uri,http://www.wikidata.org/entity/Q16929221,en,literal,Bicycle-sharing systems in Taichung,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-07-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
6,uri,http://www.wikidata.org/entity/Q10882737,en,literal,Asia Pacific Telecom,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-05-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
7,uri,http://www.wikidata.org/entity/Q699848,en,literal,MediaTek,http://www.w3.org/2001/XMLSchema#decimal,literal,17377,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-05-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q2986369,literal,,literal,,literal,http://www.wikidata.org/entity/Q249994,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,41438573000,http://www.w3.org/2001/XMLSchema#decimal,literal,1782000000000,http://www.w3.org/2001/XMLSchema#decimal,literal,533906327000,http://www.w3.org/2001/XMLSchema#decimal,literal,371833821000,,,,wd:Q865
8,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
9,uri,http://www.wikidata.org/entity/Q10923087,en,literal,Winking Entertainment,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
